"Format","AiM CSV File"
"Session","NO GPS"
"Vehicle","22"
"Racer","Everyone"
"Championship","UTA Autocross 23"
"Comment",""
"Date","Saturday, October 7, 2023"
"Time","3:17 PM"
"Sample Rate","20"
"Duration","20"
"Segment","Session"
"Beacon Markers","20"
"Segment Times","0:20.000"

"Time","Logger Temperature","External Voltage","Oil Pressure","Oil Temp","Rear Brake","InlineAcc","LateralAcc","VerticalAcc","RollRate","PitchRate","YawRate","PreCalcGear","ECU RPM","ECU Gear 2","ECU VehSpeed","ECU Gear","ECU WheelSpdFL","ECU WheelSpdFR","ECU WheelSpdRL","ECU WheelSpdRR","ECU EngLimitAct","ECU GenericSen2","ECU GenericSen7","ECU CoolantTemp","ECU FuelTrimSTB1","ECU FuelTrimSTB2","ECU TorqCIgnCorr dup 1","ECU GenericSen8","ECU BatteryVolt","ECU GenericSen9","ECU GenericSen10","ECU ThrottlePos","ECU InjDT1","ECU GenericSen3","ECU GenericSen1","ECU InjDT2","ECU GenOut1DT","ECU AirTemp","ECU FuelTrimLTB1","ECU GearSwitch","ECU DecelCutActi","ECU TPSAct","ECU BrakePedSw","ECU GenericSen4","ECU GenericSen5","ECU FuelTrimLTB2","ECU Lambda1","ECU WheelSlip","ECU WheelDiff","ECU ClutchSw","ECU FlatShSw","ECU AuxRPMLimSw","ECU BatteryLtSw","ECU GenericSen6","ECU KnockLev1","ECU KnockLev2","ECU TargLambda","Av3E9 7","ECU InjectionDT3 dup 1","ECU InjectionDT4 dup 1","ECU IgnitionAng1 dup 1","ECU IgnitionAng2 dup 1","ECU TrigCount","ECU CheckEngLtSw","ECU Laun Ctr Sw","ECU TrigSyncLev","ECU TorqDrvsRPMT","ECU TorqDrvsRPME","ECU Inj Pres D","ECU TorDrRPMEI","ECU TorDrRPMIC","ECU IgnitionAng1 dup 2","ECU TorqCIgnCorr dup 2","ECU IgnitionAng2 dup 2","ECU InjectionDT3 dup 2","ECU InjectionDT4 dup 2","ECU Acc Ped Pos","ECU RaceTimer","ECU Cru Last T S","ECU Cruise Trg S","ECU Crui Spd Err","ECU Cruise Ctr S"
"s","C","V","bar","C","bar","g","g","g","deg/s","deg/s","deg/s","#","rpm","gear","km/h","gear","km/h","km/h","km/h","km/h","#","#","#","C","%","%","deg","#","V","#","#","%","%","#","#","%","%","C","%","#","#","#","#","#","#","%","lambda","km/h","km/h","#","#","#","#","#","#","#","#","#","%","%","deg","deg","#","#","#","#","deg/s","deg/s","bar","deg","deg","deg","deg","deg","%","%","%","ms","km/h","km/h","km/h","#"

,"38.1562","12.9360","0.9702","83.4375","-0.7549","-0.1632","-0.2130","-2.9531","0.3289","0.2856","0.2253","0.0000","2676.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","489.0000","0.0000","82.2500","0.0000","0.0000","0.0000","0.0000","13.0000","0.0000","0.0000","1.1000","7.4000","0.0000","507.0000","0.0000","0.0000","24.9500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9630","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9910","0.0000","0.0000","0.0000","13.6000","13.6000","19.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.3500","0.0000","0.0000","13.6000","0.0000","13.6000","0.0000","0.0000","1.1000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"38.1562","12.9360","0.9702","83.4375","-0.7549","-0.1685","-0.2157","-2.9385","0.2529","0.3711","0.3500","0.0000","2676.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","489.0000","0.0000","82.2500","0.0000","0.0000","0.0000","0.0000","13.0000","0.0000","0.0000","1.1000","7.4000","0.0000","507.0000","0.0000","0.0000","24.9500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9630","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9910","0.0000","0.0000","0.0000","13.6000","13.6000","19.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.3500","0.0000","0.0000","13.6000","0.0000","13.6000","0.0000","0.0000","1.1000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"38.1562","12.9360","0.9702","83.4375","-0.7549","-0.1582","-0.1985","-2.9277","0.3625","0.7246","0.3472","0.0000","2676.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","489.0000","0.0000","82.2500","0.0000","0.0000","0.0000","0.0000","13.0000","0.0000","0.0000","1.1000","7.4000","0.0000","507.0000","0.0000","0.0000","24.9500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9630","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9910","0.0000","0.0000","0.0000","13.6000","13.6000","19.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.3500","0.0000","0.0000","13.6000","0.0000","13.6000","0.0000","0.0000","1.1000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"38.1562","12.9360","0.9702","83.4375","-0.6079","-0.1640","-0.2013","-2.9219","0.7437","0.6792","0.4548","0.0000","2676.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","489.0000","0.0000","82.2500","0.0000","0.0000","0.0000","0.0000","13.0000","0.0000","0.0000","1.1000","7.4000","0.0000","507.0000","0.0000","0.0000","24.9500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9630","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9910","0.0000","0.0000","0.0000","13.6000","13.6000","19.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.3500","0.0000","0.0000","13.6000","0.0000","13.6000","0.0000","0.0000","1.1000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"38.1562","12.9360","0.9702","83.4375","-0.6591","-0.1532","-0.2080","-2.9297","0.3652","0.7593","0.6211","0.0000","2676.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","490.2115","0.0000","82.2500","0.0000","0.0000","0.0000","0.0000","13.0000","0.0000","0.0000","1.1610","7.4000","0.0000","506.7981","0.0000","0.0000","24.9500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9638","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9910","0.0000","0.0000","0.0000","13.6000","13.6000","19.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.3500","0.0000","0.0000","13.6000","0.0000","13.6000","0.0000","0.0000","1.1590","0.0000","0.0000","0.0000","0.0000","0.0000"
,"38.1562","12.9360","0.9681","83.4375","-0.5686","-0.1829","-0.2159","-2.9561","0.5953","0.8887","0.5198","0.0000","2676.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","493.0962","0.0000","82.2500","0.0000","0.0000","0.0000","0.0000","13.0000","0.0000","0.0000","1.2562","7.4000","0.0000","506.3173","0.0000","0.0000","24.9500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9677","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9910","0.0000","0.0000","0.0000","13.6000","13.6000","14.1456","0.0000","0.0000","2.0000","0.0000","0.0000","2.3500","0.0000","0.0000","13.6000","0.0000","13.6000","0.0000","0.0000","1.2543","0.0000","0.0000","0.0000","0.0000","0.0000"
,"38.1562","12.9360","0.9543","83.4375","-0.6996","-0.1605","-0.1971","-2.9023","0.5073","1.1035","0.5493","0.0000","2699.7920","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","494.4951","0.0000","82.2500","0.0000","0.0000","0.0000","0.0000","13.0000","0.0000","0.0000","1.3535","7.4535","0.0000","506.0000","0.0000","0.0000","24.9466","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9711","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9910","0.0000","0.0000","0.0000","13.6000","13.6000","9.2913","0.0000","0.0000","2.0000","0.0000","0.0000","2.3500","0.0000","0.0000","13.6000","0.0000","13.6000","0.0000","0.0000","1.3515","0.0000","0.0000","0.0000","0.0000","0.0000"
,"38.1562","12.9360","0.9865","83.4375","-0.6316","-0.1740","-0.2213","-2.9268","0.0024","1.4849","0.5090","0.0000","2743.8516","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","493.0099","0.0000","82.2500","0.0000","0.0000","0.0000","0.0000","13.0000","0.0000","0.0000","1.4525","7.5525","0.0000","506.0000","0.0000","0.0000","24.9219","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9721","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9910","0.0000","0.0000","0.0000","13.6000","13.6000","14.5842","0.0000","0.0000","2.0000","0.0000","0.0000","2.3500","0.0000","0.0000","13.6000","0.0000","13.6000","0.0000","0.0000","1.4505","0.0000","0.0000","0.0000","0.0000","0.0000"
,"38.1562","12.9360","0.9764","83.4375","-0.6068","-0.1741","-0.2161","-2.9785","0.6663","0.3560","0.5525","0.0000","2761.8799","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","491.5247","0.0000","82.2500","0.0000","0.0000","0.0000","0.0000","13.0000","0.0000","0.0000","1.4480","7.6000","0.0000","506.0000","0.0000","0.0000","24.8973","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9731","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9912","0.0000","0.0000","0.0000","13.6354","13.6354","20.5248","0.0000","0.0000","2.0000","0.0000","0.0000","2.3508","0.0000","0.0000","13.6354","0.0000","13.6354","0.0000","0.0000","1.4500","0.0000","0.0000","0.0000","0.0000","0.0000"
