"Format","AiM CSV File"
"Session","NO GPS"
"Vehicle","22"
"Racer","Big Al"
"Championship","UTA Autocross 23"
"Comment","Sent"
"Date","Saturday, October 7, 2023"
"Time","2:12 PM"
"Sample Rate","20"
"Duration","13"
"Segment","Session"
"Beacon Markers","13"
"Segment Times","0:13.000"

"Time","Logger Temperature","External Voltage","Oil Pressure","Oil Temp","Rear Brake","InlineAcc","LateralAcc","VerticalAcc","RollRate","PitchRate","YawRate","PreCalcGear","ECU RPM","ECU Gear 2","ECU VehSpeed","ECU Gear","ECU WheelSpdFL","ECU WheelSpdFR","ECU WheelSpdRL","ECU WheelSpdRR","ECU EngLimitAct","ECU GenericSen2","ECU GenericSen7","ECU CoolantTemp","ECU FuelTrimSTB1","ECU FuelTrimSTB2","ECU TorqCIgnCorr dup 1","ECU GenericSen8","ECU BatteryVolt","ECU GenericSen9","ECU GenericSen10","ECU ThrottlePos","ECU InjDT1","ECU GenericSen3","ECU GenericSen1","ECU InjDT2","ECU GenOut1DT","ECU AirTemp","ECU FuelTrimLTB1","ECU GearSwitch","ECU DecelCutActi","ECU TPSAct","ECU BrakePedSw","ECU GenericSen4","ECU GenericSen5","ECU FuelTrimLTB2","ECU Lambda1","ECU WheelSlip","ECU WheelDiff","ECU ClutchSw","ECU FlatShSw","ECU AuxRPMLimSw","ECU BatteryLtSw","ECU GenericSen6","ECU KnockLev1","ECU KnockLev2","ECU TargLambda","Av3E9 7","ECU InjectionDT3 dup 1","ECU InjectionDT4 dup 1","ECU IgnitionAng1 dup 1","ECU IgnitionAng2 dup 1","ECU TrigCount","ECU CheckEngLtSw","ECU Laun Ctr Sw","ECU TrigSyncLev","ECU TorqDrvsRPMT","ECU TorqDrvsRPME","ECU Inj Pres D","ECU TorDrRPMEI","ECU TorDrRPMIC","ECU IgnitionAng1 dup 2","ECU TorqCIgnCorr dup 2","ECU IgnitionAng2 dup 2","ECU InjectionDT3 dup 2","ECU InjectionDT4 dup 2","ECU Acc Ped Pos","ECU RaceTimer","ECU Cru Last T S","ECU Cruise Trg S","ECU Crui Spd Err","ECU Cruise Ctr S"
"s","C","V","bar","C","bar","g","g","g","deg/s","deg/s","deg/s","#","rpm","gear","km/h","gear","km/h","km/h","km/h","km/h","#","#","#","C","%","%","deg","#","V","#","#","%","%","#","#","%","%","C","%","#","#","#","#","#","#","%","lambda","km/h","km/h","#","#","#","#","#","#","#","#","#","%","%","deg","deg","#","#","#","#","deg/s","deg/s","bar","deg","deg","deg","deg","deg","%","%","%","ms","km/h","km/h","km/h","#"

,"32.9375","13.5200","0.5669","101.0625","1.5723","-0.1010","-0.1292","-2.9707","1.7812","-0.8335","-1.1885","0.0000","2380.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","502.0000","0.0000","95.5500","0.0000","0.0000","0.0000","0.0000","13.4000","0.0000","0.0000","1.4000","6.6000","0.0000","509.0000","0.0000","0.0000","21.0500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9590","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9740","0.0000","0.0000","0.0000","13.8000","13.8000","10.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.2760","0.0000","0.0000","13.8000","0.0000","13.8000","0.0000","0.0000","1.4000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"32.9375","13.5200","0.5669","101.0625","1.5723","-0.1284","-0.1448","-2.9502","1.7109","-1.1216","-1.2480","0.0000","2380.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","502.0000","0.0000","95.5500","0.0000","0.0000","0.0000","0.0000","13.4000","0.0000","0.0000","1.4000","6.6000","0.0000","509.0000","0.0000","0.0000","21.0500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9590","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9740","0.0000","0.0000","0.0000","13.8000","13.8000","10.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.2760","0.0000","0.0000","13.8000","0.0000","13.8000","0.0000","0.0000","1.4000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"32.9375","13.5200","0.5669","101.0625","1.5723","-0.1371","-0.1499","-2.9434","1.2148","-0.8989","-1.0625","0.0000","2380.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","502.0000","0.0000","95.5500","0.0000","0.0000","0.0000","0.0000","13.4000","0.0000","0.0000","1.4000","6.6000","0.0000","509.0000","0.0000","0.0000","21.0500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9590","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9740","0.0000","0.0000","0.0000","13.8000","13.8000","10.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.2760","0.0000","0.0000","13.8000","0.0000","13.8000","0.0000","0.0000","1.4000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"32.9375","13.5200","0.5669","101.0625","1.5482","-0.2036","-0.1872","-2.9590","1.0605","-0.7139","-0.8057","0.0000","2380.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","502.0000","0.0000","95.5500","0.0000","0.0000","0.0000","0.0000","13.4000","0.0000","0.0000","1.4000","6.6000","0.0000","509.0000","0.0000","0.0000","21.0500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9590","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9740","0.0000","0.0000","0.0000","13.8000","13.8000","10.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.2760","0.0000","0.0000","13.8000","0.0000","13.8000","0.0000","0.0000","1.4000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"32.9375","13.5200","0.5682","101.0625","1.3902","-0.2183","-0.1927","-2.8906","1.0581","-0.7288","-0.7400","0.0000","2351.1650","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","502.0000","0.0000","95.5500","0.0000","0.0000","0.0000","0.0000","13.4000","0.0000","0.0000","1.4000","6.6000","0.0000","509.0000","0.0000","0.0000","21.0500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9590","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9740","0.0000","0.0000","0.0000","13.8000","13.8000","9.2621","0.0000","0.0000","2.0000","0.0000","0.0000","2.2760","0.0000","0.0000","13.8000","0.0000","13.8000","0.0000","0.0000","1.4000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"32.9375","13.5200","0.5840","101.0625","1.2650","-0.2014","-0.1753","-2.8984","-0.0484","0.3596","-0.8950","0.0000","2303.1067","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","497.8750","0.0000","95.5500","0.0000","0.0000","0.0000","0.0000","13.4000","0.0000","0.0000","1.4000","6.7500","0.0000","509.3750","0.0000","0.0000","21.0500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9613","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9740","0.0000","0.0000","0.0000","13.8000","13.8000","7.3204","0.0000","0.0000","2.0000","0.0000","0.0000","2.2760","0.0000","0.0000","13.8000","0.0000","13.8000","0.0000","0.0000","1.4000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"32.9375","13.5200","0.6296","101.0625","1.4443","-0.2268","-0.1927","-2.9229","-0.5881","0.6558","-0.9309","0.0000","2300.8000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","492.5865","0.0000","95.5500","0.0000","0.0000","0.0000","0.0000","13.4000","0.0000","0.0000","1.4257","6.9423","0.0000","509.8558","0.0000","0.0000","21.0500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9651","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9740","0.0000","0.0000","0.0000","13.8000","13.8000","7.3846","0.0000","0.0000","2.0000","0.0000","0.0000","2.2763","0.0000","0.0000","13.8000","0.0000","13.8000","0.0000","0.0000","1.4000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"32.9375","13.5200","0.6246","101.0625","1.1956","-0.2233","-0.1926","-2.9004","-0.7095","0.8389","-0.9233","0.0000","2337.4666","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","491.6667","0.0000","95.5500","0.0000","0.0000","0.0000","0.0000","13.4000","0.0000","0.0000","1.4733","6.8990","0.0000","509.6667","0.0000","0.0000","21.0500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9725","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9740","0.0000","0.0000","0.0000","13.8000","13.8000","11.7115","0.0000","0.0000","2.0000","0.0000","0.0000","2.2807","0.0000","0.0000","13.8000","0.0000","13.8000","0.0000","0.0000","1.4000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"32.9375","13.5200","0.6212","101.0625","1.0877","-0.2051","-0.1830","-2.9285","-0.9984","1.4077","-1.1269","0.0000","2367.6116","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","492.6190","0.0000","95.5500","0.0000","0.0000","0.0000","0.0000","13.4000","0.0000","0.0000","1.5000","6.7548","0.0000","509.1905","0.0000","0.0000","21.0500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9836","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9740","0.0000","0.0000","0.0000","13.7893","13.7893","15.2330","0.0000","0.0000","2.0000","0.0000","0.0000","2.2850","0.0000","0.0000","13.7893","0.0000","13.7893","0.0000","0.0000","1.4000","0.0000","0.0000","0.0000","0.0000","0.0000"
