"Format","AiM CSV File"
"Session","NO GPS"
"Vehicle","22"
"Racer","Everyone"
"Championship","UTA Autocross 23"
"Comment",""
"Date","Saturday, October 7, 2023"
"Time","2:29 PM"
"Sample Rate","20"
"Duration","90"
"Segment","Session"
"Beacon Markers","90"
"Segment Times","1:30.000"

"Time","Logger Temperature","External Voltage","Oil Pressure","Oil Temp","Rear Brake","InlineAcc","LateralAcc","VerticalAcc","RollRate","PitchRate","YawRate","PreCalcGear","ECU RPM","ECU Gear 2","ECU VehSpeed","ECU Gear","ECU WheelSpdFL","ECU WheelSpdFR","ECU WheelSpdRL","ECU WheelSpdRR","ECU EngLimitAct","ECU GenericSen2","ECU GenericSen7","ECU CoolantTemp","ECU FuelTrimSTB1","ECU FuelTrimSTB2","ECU TorqCIgnCorr dup 1","ECU GenericSen8","ECU BatteryVolt","ECU GenericSen9","ECU GenericSen10","ECU ThrottlePos","ECU InjDT1","ECU GenericSen3","ECU GenericSen1","ECU InjDT2","ECU GenOut1DT","ECU AirTemp","ECU FuelTrimLTB1","ECU GearSwitch","ECU DecelCutActi","ECU TPSAct","ECU BrakePedSw","ECU GenericSen4","ECU GenericSen5","ECU FuelTrimLTB2","ECU Lambda1","ECU WheelSlip","ECU WheelDiff","ECU ClutchSw","ECU FlatShSw","ECU AuxRPMLimSw","ECU BatteryLtSw","ECU GenericSen6","ECU KnockLev1","ECU KnockLev2","ECU TargLambda","Av3E9 7","ECU InjectionDT3 dup 1","ECU InjectionDT4 dup 1","ECU IgnitionAng1 dup 1","ECU IgnitionAng2 dup 1","ECU TrigCount","ECU CheckEngLtSw","ECU Laun Ctr Sw","ECU TrigSyncLev","ECU TorqDrvsRPMT","ECU TorqDrvsRPME","ECU Inj Pres D","ECU TorDrRPMEI","ECU TorDrRPMIC","ECU IgnitionAng1 dup 2","ECU TorqCIgnCorr dup 2","ECU IgnitionAng2 dup 2","ECU InjectionDT3 dup 2","ECU InjectionDT4 dup 2","ECU Acc Ped Pos","ECU RaceTimer","ECU Cru Last T S","ECU Cruise Trg S","ECU Crui Spd Err","ECU Cruise Ctr S"
"s","C","V","bar","C","bar","g","g","g","deg/s","deg/s","deg/s","#","rpm","gear","km/h","gear","km/h","km/h","km/h","km/h","#","#","#","C","%","%","deg","#","V","#","#","%","%","#","#","%","%","C","%","#","#","#","#","#","#","%","lambda","km/h","km/h","#","#","#","#","#","#","#","#","#","%","%","deg","deg","#","#","#","#","deg/s","deg/s","bar","deg","deg","deg","deg","deg","%","%","%","ms","km/h","km/h","km/h","#"

,"35.1562","10.8880","0.1409","60.8750","1.7002","-0.1263","-0.1995","-2.9629","0.7578","0.4473","0.1361","0.0000","647.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","488.0000","0.0000","87.1500","0.0000","0.0000","0.0000","0.0000","10.8000","0.0000","0.0000","34.3000","2.9000","0.0000","504.0000","0.0000","0.0000","23.8500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.6420","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9060","0.0000","0.0000","0.0000","16.1000","16.1000","7.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.0020","0.0000","0.0000","16.1000","0.0000","16.1000","0.0000","0.0000","34.2000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"35.1562","10.8880","0.1409","60.8750","1.7002","-0.1153","-0.1910","-2.9600","0.7878","0.3639","0.0537","0.0000","647.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","488.0000","0.0000","87.1500","0.0000","0.0000","0.0000","0.0000","10.8000","0.0000","0.0000","34.3000","2.9000","0.0000","504.0000","0.0000","0.0000","23.8500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.6420","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9060","0.0000","0.0000","0.0000","16.1000","16.1000","7.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.0020","0.0000","0.0000","16.1000","0.0000","16.1000","0.0000","0.0000","34.2000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"35.1562","10.8880","0.1409","60.8750","1.7002","-0.1046","-0.1844","-2.9434","0.7324","0.4521","0.1090","0.0000","647.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","488.0000","0.0000","87.1500","0.0000","0.0000","0.0000","0.0000","10.8000","0.0000","0.0000","34.3000","2.9000","0.0000","504.0000","0.0000","0.0000","23.8500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.6420","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9060","0.0000","0.0000","0.0000","16.1000","16.1000","7.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.0020","0.0000","0.0000","16.1000","0.0000","16.1000","0.0000","0.0000","34.2000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"35.1562","10.8880","0.1409","60.8750","1.7002","-0.1154","-0.1915","-2.9619","0.7261","0.5060","0.1494","0.0000","647.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","488.0000","0.0000","87.1500","0.0000","0.0000","0.0000","0.0000","10.8000","0.0000","0.0000","34.3000","2.9000","0.0000","504.0000","0.0000","0.0000","23.8500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.6420","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9060","0.0000","0.0000","0.0000","16.1000","16.1000","7.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.0020","0.0000","0.0000","16.1000","0.0000","16.1000","0.0000","0.0000","34.2000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"35.1562","10.8880","0.1409","60.8750","1.7002","-0.1199","-0.1940","-2.9707","0.8081","0.3528","0.0784","0.0000","647.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","488.0000","0.0000","87.1500","0.0000","0.0000","0.0000","0.0000","10.8000","0.0000","0.0000","34.3000","2.9000","0.0000","504.0000","0.0000","0.0000","23.8500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.6420","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9060","0.0000","0.0000","0.0000","16.1000","16.1000","7.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.0020","0.0000","0.0000","16.1000","0.0000","16.1000","0.0000","0.0000","34.2000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"35.1562","10.8880","0.1409","60.8750","1.7002","-0.1133","-0.1944","-2.9492","0.8181","0.3682","0.1251","0.0000","647.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","488.0000","0.0000","87.1500","0.0000","0.0000","0.0000","0.0000","10.8000","0.0000","0.0000","34.3000","2.9000","0.0000","504.0000","0.0000","0.0000","23.8500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.6420","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9060","0.0000","0.0000","0.0000","16.1000","16.1000","7.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.0020","0.0000","0.0000","16.1000","0.0000","16.1000","0.0000","0.0000","34.2000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"35.1562","10.8880","0.1409","60.8750","1.7002","-0.1160","-0.1968","-2.9434","0.7871","0.4507","0.1390","0.0000","647.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","488.0000","0.0000","87.1500","0.0000","0.0000","0.0000","0.0000","10.8000","0.0000","0.0000","34.3000","2.9000","0.0000","504.0000","0.0000","0.0000","23.8500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.6420","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9060","0.0000","0.0000","0.0000","15.9846","15.9846","7.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.0020","0.0000","0.0000","15.9846","0.0000","15.9846","0.0000","0.0000","34.2000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"35.1562","10.8880","0.1409","60.8750","1.7079","-0.1214","-0.1980","-2.9648","0.7681","0.4775","0.0883","0.0000","618.4095","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","489.3846","0.0000","87.1500","0.0000","0.0000","0.0000","0.0000","10.7618","0.0000","0.0000","34.3362","2.7733","0.0000","503.4808","0.0000","0.0000","23.8500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.6205","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9056","0.0000","0.0000","0.0000","15.6962","15.6962","6.0291","0.0000","0.0000","2.0000","0.0000","0.0000","2.0050","0.0000","0.0000","15.6962","0.0000","15.6962","0.0000","0.0000","34.1243","0.0000","0.0000","0.0000","0.0000","0.0000"
,"35.1562","10.8880","0.1188","60.8750","1.6745","-0.1222","-0.1971","-2.9609","0.8003","0.3975","0.0555","0.0000","543.1714","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","493.2308","0.0000","87.1500","0.0000","0.0000","0.0000","0.0000","10.7127","0.0000","0.0000","34.4314","2.4400","0.0000","502.0385","0.0000","0.0000","23.8500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.5010","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9047","0.0000","0.0000","0.0000","15.3913","15.3913","5.0583","0.0000","0.0000","2.0000","0.0000","0.0000","2.0089","0.0000","0.0000","15.3913","0.0000","15.3913","0.0000","0.0000","34.0272","0.0000","0.0000","0.0000","0.0000","0.0000"
