Time,Motor RPM [Rpm],MC Duty Cycle [%],MC Volts [V],AC Current,DC Current [A],CellId,MC Temp [°C],Motor Temp [°C],Fault Code,MC Throttle [%],Drive Enable,RadIn_Temp [°C],RadOut_Tem [°C],Flowrate,Actual_FOC_id,Actual_FOC_iq,Actual_Brake [%],Rolling_Counter,Relay_State,CRC_Checksum,CRC_Checksum_22,Pack_Current,Pack_CCL,Pack_DCL,Pack_Open_Volta,TSB HighTemp,Pack_SOC,Cell Low,Therm1_Val [°C],Therm1_LowVal [°C],Therm1_HighVal [°C],Therm2_Val [°C],Therm2_LowVal [°C],Therm2_HighVal [°C],Therm1_ID,Therm1_ModNum,AN3 [V],AN6 [V],VBAT [V],Int Temp [°C],CAN1 Load [%],CAN1 ERRORS [hex],CAN2 ERRORS [decimal],ALARMS1 [decimal],uFLAGS1 [decimal],RTD,Energized,LV Low,Motor Temp High,MC Temp High,Logging,TSB Temp,Stop Logging,WATER T ALM
21:30:30.025,731.9,21,315,30.1,5.1,0,50,46.9,0,0,1,49,48,3,0,0,0,0,0,0,0,4.5,12,190,1,39,39,19,38,19,39,39,38,39,-851583,8,4.863,0,13.743,38,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:30:30.125,730.2,21.1,316,26,5,0,50,46.9,0,0,1,49,49,3,0,0,0,0,0,0,0,3.9,12,190,1,39,39,19,38,19,39,39,38,39,-851583,8,4.863,0.015,13.743,38,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:30:30.225,740.9,21.4,315,30.6,5.4,0,50,46.9,0,0,1,51,48,3,0,0,0,0,0,0,0,4.5,12,190,1,39,39,19,39,19,39,39,38,39,-851583,8,4.863,0.015,13.736,38,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:30:30.325,741.3,21.3,314,34.7,5.7,0,50,46.9,0,0,1,54,49,3,0,0,0,0,0,0,0,5.1,12,190,1,39,39,19,39,19,39,39,38,39,-851583,8,4.863,0.015,13.75,38,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:30:30.425,745.2,21.4,315,33.5,6,0,50,46.9,0,0,1,51,51,3,0,0,0,0,0,0,0,5,12,190,1,39,39,19,39,19,39,39,38,39,-851583,8,4.863,0.015,13.764,38,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:30:30.525,763,22.3,315,38.2,6.5,0,50,46.9,0,0,1,51,49,3,0,0,0,0,0,0,0,6.3,12,190,1,39,39,19,39,19,39,39,38,39,-851583,8,4.863,0.015,13.757,38,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:30:30.625,753.6,21.6,315,37.7,6.9,0,50,47,0,0,1,50,49,3,0,0,0,0,0,0,0,5.9,12,190,1,39,39,19,39,19,39,39,38,39,-851583,8,4.863,0.015,13.757,38,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:30:30.725,760.1,21.9,315,35.4,6.4,0,50,47,0,0,1,51,50,3,0,0,0,0,0,0,0,5.6,12,190,1,39,39,19,39,19,39,39,38,39,-851583,8,4.863,0.015,13.764,38,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:30:30.825,769.3,21.9,314,40.3,6.6,0,50,47,0,0,1,50,50,3,0,0,0,0,0,0,0,6.1,12,190,1,39,39,19,39,19,39,39,38,39,-851583,8,4.863,0.015,13.757,38,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:30:30.925,776.8,22.2,315,28.8,4.9,0,50,47,0,0,1,50,49,3,0,0,0,0,0,0,0,4.4,12,190,1,39,39,19,39,19,39,39,38,39,-851583,8,4.863,0.015,13.757,38,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:30:31.025,781,21.9,314,30.5,5.6,0,50,47,0,0,1,50,49,3,0,0,0,0,0,0,0,4.7,12,190,1,39,39,19,38,19,39,39,38,39,-851583,8,4.863,0.015,13.764,38,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:30:31.125,782.2,22,315,28.8,4.4,0,50,47,0,0,1,50,49,3,0,0,0,0,0,0,0,4.5,12,190,1,39,39,19,39,19,39,39,38,39,-851583,8,4.863,0.015,13.784,38,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:30:31.225,783.9,22.3,315,28.6,5.1,0,50,47,0,0,1,50,49,3,0,0,0,0,0,0,0,4.4,12,190,1,39,39,19,39,19,39,39,38,39,-851583,8,4.863,0.015,13.791,38,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:30:31.325,781.8,22.2,315,29.4,5.3,0,50,47,0,0,1,49,49,3,0,0,0,0,0,0,0,4.5,12,190,1,39,39,19,39,19,39,39,38,39,-851583,8,4.863,0.015,13.764,38,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:30:31.425,797.8,23.9,314,49.7,9.7,0,50,47,0,0,1,50,49,3,0,0,0,0,0,0,0,8,12,190,1,39,39,19,38,19,39,39,38,39,-851583,8,4.863,0.015,13.777,38,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:30:31.525,797.9,23.1,315,45.4,8.1,0,50,47,0,0,1,49,49,3,0,0,0,0,0,0,0,7.4,12,190,1,39,39,19,39,19,39,39,38,39,-851583,8,4.863,0.015,13.777,38,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:30:31.625,813.6,23.4,314,48.7,9.5,0,50,47,0,0,1,50,49,3,0,0,0,0,0,0,0,8.2,12,190,1,39,39,19,39,19,39,38,38,39,-851583,8,4.863,0.015,13.777,38,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:30:31.725,814.2,23.1,314,51.8,9.6,0,50,47,0,0,1,50,49,3,0,0,0,0,0,0,0,8.1,12,190,1,39,39,19,38,19,39,39,38,39,-851583,8,4.863,0.015,13.791,38,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:30:31.825,831.6,25,313,61.9,11.4,0,50,47,0,0,1,49,49,3,0,0,0,0,0,0,0,9.8,12,190,1,39,39,19,39,19,39,38,38,39,-851583,8,4.863,0.015,13.777,38,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:30:31.925,844.4,24.4,313,66.6,12.9,0,50,47,0,0,1,49,48,3,0,0,0,0,0,0,0,11,12,190,1,39,39,19,38,19,39,39,38,39,-851583,8,4.863,0.015,13.784,38,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:30:32.025,856,24.8,314,61.3,12.4,0,50,47,0,0,1,50,49,3,0,0,0,0,0,0,0,11.1,12,190,1,39,39,19,39,19,39,38,38,39,-851583,8,4.863,0.015,13.777,38,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:30:32.125,872.8,24.8,314,66.5,14.1,0,49.9,47,0,0,1,50,49,3,0,0,0,0,0,0,0,11.8,12,190,1,39,39,19,39,19,39,38,38,39,-851583,8,4.863,0.015,13.777,38,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:30:32.225,887.9,25.9,312,79.6,16.6,0,49.8,47,0,0,1,50,49,3,0,0,0,0,0,0,0,14.7,12,190,1,39,39,19,38,19,39,38,38,39,-851583,8,4.863,0.015,13.764,38,0,32,0,0,35,1,1,0,0,0,1,0,0,0
