Time,Motor RPM [Rpm],MC Duty Cycle [%],MC Volts [V],AC Current,DC Current [A],CellId,MC Temp [°C],Motor Temp [°C],Fault Code,MC Throttle [%],Drive Enable,RadIn_Temp [°C],RadOut_Tem [°C],Flowrate,Actual_FOC_id,Actual_FOC_iq,Actual_Brake [%],Rolling_Counter,Relay_State,CRC_Checksum,CRC_Checksum_22,Pack_Current,Pack_CCL,Pack_DCL,Pack_Open_Volta,TSB HighTemp,Pack_SOC,Cell Low,Therm1_Val [°C],Therm1_LowVal [°C],Therm1_HighVal [°C],Therm2_Val [°C],Therm2_LowVal [°C],Therm2_HighVal [°C],Therm1_ID,Therm1_ModNum,AN3 [V],AN6 [V],VBAT [V],Int Temp [°C],CAN1 Load [%],CAN1 ERRORS [hex],CAN2 ERRORS [decimal],ALARMS1 [decimal],uFLAGS1 [decimal],RTD,Energized,LV Low,Motor Temp High,MC Temp High,Logging,TSB Temp,Stop Logging,WATER T ALM
21:59:22.025,1299.4,39.4,295,162.1,45.9,0,53.9,51.1,0,0,1,55,54,5,0,0,0,0,0,0,0,40.1,11,181,1,41,41,20,40,20,41,40,39,41,-851583,8,4.863,0,13.374,37,0,16,0,0,35,1,1,0,0,0,1,0,0,0
21:59:22.125,1331,40.2,295,158.7,46,0,53.9,51.1,0,0,1,55,54,5,0,0,0,0,0,0,0,42.7,11,181,1,41,41,20,41,20,41,40,39,41,-851583,8,4.863,0.015,13.367,37,0,16,0,0,35,1,1,0,0,0,1,0,0,0
21:59:22.225,1375.3,41.3,294,165.3,44.8,0,53.9,51.1,0,0,1,58,54,5,0,0,0,0,0,0,0,41.6,11,181,1,41,41,20,40,20,41,40,39,41,-851583,8,4.863,0.015,13.408,36,0,16,0,0,35,1,1,0,0,0,1,0,0,0
21:59:22.325,1402.3,42.1,293,175,48.7,0,53.9,51.3,0,0,1,57,54,4,0,0,0,0,0,0,0,47.4,11,181,1,41,41,20,40,20,41,40,39,41,-851583,8,4.863,0.015,13.422,37,0,16,0,0,35,1,1,0,0,0,1,0,0,0
21:59:22.425,1442.7,43.7,293,169.7,49.6,0,53.9,51.1,0,0,1,57,55,4,0,0,0,0,0,0,0,49.5,11,181,1,41,41,20,40,20,41,40,39,41,-851583,8,4.863,0.015,13.435,37,0,16,0,0,35,1,1,0,0,0,1,0,0,0
21:59:22.525,1475,44.6,293,174.3,48.4,0,53.9,51.3,0,0,1,57,55,4,0,0,0,0,0,0,0,51.2,11,181,1,41,41,20,40,20,41,40,39,41,-851583,8,4.863,0.015,13.401,37,0,16,0,0,35,1,1,0,0,0,1,0,0,0
21:59:22.625,1510.8,45.5,294,172.4,48.6,0,53.9,51.2,0,0,1,58,56,5,0,0,0,0,0,0,0,49.3,11,181,1,41,41,20,40,20,41,40,39,41,-851583,8,4.863,0.015,13.415,37,0,16,0,0,35,1,1,0,0,0,1,0,0,0
21:59:22.725,1546.5,45.9,292,173.2,52,0,53.9,51.2,0,0,1,56,55,5,0,0,0,0,0,0,0,53.8,11,181,1,41,41,20,40,20,41,40,39,41,-851583,8,4.863,0.015,13.422,37,0,16,0,0,35,1,1,0,0,0,1,0,0,0
21:59:22.825,1583.5,46.5,293,151.8,49.3,0,53.9,51.2,0,0,1,57,54,4,0,0,0,0,0,0,0,47,11,181,1,41,41,20,40,20,41,41,39,41,-851583,8,4.863,0.015,13.408,37,0,16,0,0,35,1,1,0,0,0,1,0,0,0
21:59:22.925,1618.3,47.8,293,151.7,46.8,0,53.9,51.2,0,0,1,57,55,5,0,0,0,0,0,0,0,47.2,11,181,1,41,41,20,39,20,41,40,39,41,-851583,8,4.863,0.015,13.435,37,0,16,0,0,35,1,1,0,0,0,1,0,0,0
