Time,Motor RPM [Rpm],MC Duty Cycle [%],MC Volts [V],AC Current,DC Current [A],CellId,MC Temp [°C],Motor Temp [°C],Fault Code,MC Throttle [%],Drive Enable,RadIn_Temp [°C],RadOut_Tem [°C],Flowrate,Actual_FOC_id,Actual_FOC_iq,Actual_Brake [%],Rolling_Counter,Relay_State,CRC_Checksum,CRC_Checksum_22,Pack_Current,Pack_CCL,Pack_DCL,Pack_Open_Volta,TSB HighTemp,Pack_SOC,Cell Low,Therm1_Val [°C],Therm1_LowVal [°C],Therm1_HighVal [°C],Therm2_Val [°C],Therm2_LowVal [°C],Therm2_HighVal [°C],Therm1_ID,Therm1_ModNum,AN3 [V],AN6 [V],VBAT [V],Int Temp [°C],CAN1 Load [%],CAN1 ERRORS [hex],CAN2 ERRORS [decimal],ALARMS1 [decimal],uFLAGS1 [decimal],RTD,Energized,LV Low,Motor Temp High,MC Temp High,Logging,TSB Temp,Stop Logging,WATER T ALM
20:02:21.025,0,4.7,339,11.2,0.4,0,45,42,0,0,1,50,47,4,0,0,0,0,0,0,0,0.2,13,190,0.9,32,32,14,32,14,32,32,31,32,-851583,8,4.863,0,14.488,41,0,32,0,0,35,1,1,0,0,0,1,0,0,0
20:02:21.125,0,4.8,338,11.4,0.4,0,45,42,0,0,1,52,47,4,0,0,0,0,0,0,0,0.2,13,190,0.9,32,32,14,31,14,32,32,31,32,-851583,8,4.858,0,14.488,40,0,32,0,0,35,1,1,0,0,0,1,0,0,0
20:02:21.225,0,4.8,339,11.3,0.4,0,45,42,0,0,1,52,47,4,0,0,0,0,0,0,0,0.2,13,190,0.9,32,32,14,32,14,32,32,31,32,-851583,8,4.863,0.015,14.488,40,0,32,0,0,35,1,1,0,0,0,1,0,0,0
20:02:21.325,0,4.7,340,11.3,0.3,0,45,42,0,0,1,52,48,4,0,0,0,0,0,0,0,0.2,13,190,0.9,32,32,14,32,14,32,32,31,32,-851583,8,4.863,0.015,14.488,40,0,32,0,0,35,1,1,0,0,0,1,0,0,0
20:02:21.425,0,4.7,339,11,0.4,0,45,42,0,0,1,51,48,4,0,0,0,0,0,0,0,0.2,13,190,0.9,32,32,14,32,14,32,31,31,32,-851583,8,4.863,0.015,14.488,40,0,32,0,0,35,1,1,0,0,0,1,0,0,0
20:02:21.525,0,4.7,339,11.3,0.4,0,45,42,0,0,1,51,49,4,0,0,0,0,0,0,0,0.2,13,190,0.9,32,32,14,14,14,32,32,31,32,-851583,8,4.863,0.015,14.488,40,0,32,0,0,35,1,1,0,0,0,1,0,0,0
20:02:21.625,0,4.7,338,11,0.4,0,45,42,0,0,1,51,48,4,0,0,0,0,0,0,0,0.2,13,190,0.9,32,32,14,32,14,32,32,31,32,-851583,8,4.863,0.015,14.495,40,0,32,0,0,35,1,1,0,0,0,1,0,0,0
20:02:21.725,0,4.7,338,11.5,0.4,0,45,42,0,0,1,51,48,4,0,0,0,0,0,0,0,0.2,13,190,0.9,32,32,14,32,14,32,32,31,32,-851583,8,4.863,0.015,14.488,40,0,32,0,0,35,1,1,0,0,0,1,0,0,0
20:02:21.825,0,4.7,338,11.5,0.4,0,45,42,0,0,1,51,48,4,0,0,0,0,0,0,0,0.2,13,190,0.9,32,32,14,32,14,32,32,31,32,-851583,8,4.863,0.015,14.488,40,0,32,0,0,35,1,1,0,0,0,1,0,0,0
20:02:21.925,0,4.8,338,11.1,0.4,0,45,42,0,0,1,50,48,0,0,0,0,0,0,0,0,0.2,13,190,0.9,32,32,14,32,14,32,32,31,32,-851583,8,4.858,0.015,14.488,40,0,32,0,0,35,1,1,0,0,0,1,0,0,0
20:02:22.025,0,4.7,339,11.2,0.4,0,45,42,0,0,1,50,48,0,0,0,0,0,0,0,0,0.2,13,190,0.9,32,32,14,32,14,32,32,31,32,-851583,8,4.863,0.015,14.488,40,0,32,0,0,35,1,1,0,0,0,1,0,0,0
20:02:22.125,0,4.7,339,11.3,0.4,0,45,42,0,0,1,50,47,0,0,0,0,0,0,0,0,0.2,13,190,0.9,32,32,14,32,14,32,32,31,32,-851583,8,4.863,0.015,14.488,40,0,32,0,0,35,1,1,0,0,0,1,0,0,0
20:02:22.225,0,4.8,339,11.5,0.4,0,45,42,0,0,1,50,47,0,0,0,0,0,0,0,0,0.2,13,190,0.9,32,32,14,32,14,32,32,31,32,-851583,8,4.863,0.015,14.495,40,0,32,0,0,35,1,1,0,0,0,1,0,0,0
20:02:22.325,0,4.7,339,10.7,0.3,0,45,42,0,0,1,50,47,0,0,0,0,0,0,0,0,0.2,13,190,0.9,32,32,14,32,14,32,32,31,32,-851583,8,4.863,0.015,14.488,41,0,32,0,0,35,1,1,0,0,0,1,0,0,0
20:02:22.425,0,4.7,339,11.2,0.4,0,45,42,0,0,1,50,47,0,0,0,0,0,0,0,0,0.2,13,190,0.9,32,32,14,32,14,32,32,31,32,-851583,8,4.863,0.015,14.488,40,0,32,0,0,35,1,1,0,0,0,1,0,0,0
20:02:22.525,0,4.7,338,11.2,0.4,0,45,42,0,0,1,50,48,0,0,0,0,0,0,0,0,0.3,13,190,0.9,32,32,14,32,14,32,32,31,32,-851583,8,4.863,0.015,14.488,40,0,32,0,0,35,1,1,0,0,0,1,0,0,0
