Time,Motor RPM [Rpm],MC Duty Cycle [%],MC Volts [V],AC Current,DC Current [A],CellId,MC Temp [°C],Motor Temp [°C],Fault Code,MC Throttle [%],Drive Enable,RadIn_Temp [°C],RadOut_Tem [°C],Flowrate,Actual_FOC_id,Actual_FOC_iq,Actual_Brake [%],Rolling_Counter,Relay_State,CRC_Checksum,CRC_Checksum_22,Pack_Current,Pack_CCL,Pack_DCL,Pack_Open_Volta,TSB HighTemp,Pack_SOC,Cell Low,Therm1_Val [°C],Therm1_LowVal [°C],Therm1_HighVal [°C],Therm2_Val [°C],Therm2_LowVal [°C],Therm2_HighVal [°C],Therm1_ID,Therm1_ModNum,AN3 [V],AN6 [V],VBAT [V],Int Temp [°C],CAN1 Load [%],CAN1 ERRORS [hex],CAN2 ERRORS [decimal],ALARMS1 [decimal],uFLAGS1 [decimal],RTD,Energized,LV Low,Motor Temp High,MC Temp High,Logging,TSB Temp,Stop Logging,WATER T ALM
21:30:04.025,1055.7,31.3,310,130.6,29.2,0,49,46,0,0,1,50,48,6,0,0,0,0,0,0,0,26.7,12,190,1,39,39,19,38,19,39,38,38,39,-851583,8,4.863,0,13.613,38,0,24,0,0,35,1,1,0,0,0,1,0,0,0
21:30:04.125,1085.3,31.9,310,123.5,30,0,49,46,0,0,1,50,49,5,0,0,0,0,0,0,0,25.5,12,190,1,39,39,19,38,19,39,38,38,39,-851583,8,4.863,0,13.606,38,0,24,0,0,35,1,1,0,0,0,1,0,0,0
21:30:04.225,1113.6,32.7,312,127.7,28.8,0,49,46,0,0,1,50,49,5,0,0,0,0,0,0,0,25.7,12,190,1,39,39,19,38,19,39,38,38,39,-851583,8,4.863,0.015,13.613,38,0,24,0,0,35,1,1,0,0,0,1,0,0,0
21:30:04.325,1162.4,34.2,310,123.6,31.4,0,49,46,0,0,1,50,48,5,0,0,0,0,0,0,0,28.5,12,190,1,39,39,19,39,19,39,39,38,39,-851583,8,4.863,0.015,13.62,38,0,24,0,0,35,1,1,0,0,0,1,0,0,0
21:30:04.425,1189.7,34.9,308,134.5,35.3,0,49,45.9,0,0,1,50,48,5,0,0,0,0,0,0,0,30.3,12,190,1,39,39,19,39,19,39,39,38,39,-851583,8,4.863,0.015,13.647,38,0,24,0,0,35,1,1,0,0,0,1,0,0,0
21:30:04.525,1225.9,36.6,307,153.6,37.6,0,49,45.9,0,0,1,50,48,5,0,0,0,0,0,0,0,35.8,12,190,1,39,39,19,39,19,39,38,38,39,-851583,8,4.863,0.015,13.606,38,0,24,0,0,35,1,1,0,0,0,1,0,0,0
21:30:04.625,1263.2,37,308,147.4,37.7,0,49,45.9,0,0,1,50,49,5,0,0,0,0,0,0,0,34.1,12,190,1,39,39,19,39,19,39,39,38,39,-851583,8,4.863,0.015,13.62,38,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:30:04.725,1308.5,38.4,306,146.5,40.3,0,49,45.9,0,0,1,50,48,5,0,0,0,0,0,0,0,38.6,12,190,1,39,39,19,39,19,39,38,38,39,-851583,8,4.863,0.015,13.647,38,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:30:04.825,1346.9,39,306,148.8,43.1,0,49,45.9,0,0,1,50,48,5,0,0,0,0,0,0,0,38.4,12,190,1,39,39,19,38,19,39,38,38,39,-851583,8,4.863,0.015,13.641,38,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:30:04.925,1386.1,39.9,306,146,40.8,0,49,45.9,0,0,1,50,49,5,0,0,0,0,0,0,0,41,12,190,1,39,39,19,38,19,39,38,38,39,-851583,8,4.863,0.015,13.62,38,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:30:05.025,1435.1,41.1,305,156.9,43.2,0,49,45.9,0,0,1,51,49,5,0,0,0,0,0,0,0,43.1,12,190,1,39,39,19,38,19,39,39,38,39,-851583,8,4.863,0.015,13.62,38,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:30:05.125,1474.9,41.9,304,150,45.4,0,49,45.9,0,0,1,50,49,5,0,0,0,0,0,0,0,39.7,12,190,1,39,39,19,39,19,39,38,38,39,-851583,8,4.863,0.015,13.634,38,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:30:05.225,1503.8,42.8,303,144,43.5,0,49,45.9,0,0,1,49,48,5,0,0,0,0,0,0,0,41.6,12,190,1,39,39,19,38,19,39,38,38,39,-851583,8,4.863,0.015,13.647,38,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:30:05.325,1539.3,43.4,304,144.7,42.5,0,49.1,45.9,0,0,1,50,48,5,0,0,0,0,0,0,0,42,12,190,1,39,39,19,38,19,39,38,38,39,-851583,8,4.863,0.015,13.627,38,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:30:05.425,1574.4,44.6,304,156,49,0,49.9,46,0,0,1,50,49,5,0,0,0,0,0,0,0,47.8,12,190,1,39,39,19,39,19,39,39,38,39,-851583,8,4.863,0.015,13.634,38,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:30:05.525,1607.6,45.4,304,149.3,49.4,0,49.9,46,0,0,1,51,49,5,0,0,0,0,0,0,0,44,12,190,1,39,39,19,39,19,39,39,38,39,-851583,8,4.863,0.015,13.641,38,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:30:05.625,1664.4,46.9,304,139.3,47.5,0,49.9,46,0,0,1,48,48,5,0,0,0,0,0,0,0,47,11,190,1,39,39,19,39,19,39,39,38,39,-851583,8,4.863,0.015,13.6,38,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:30:05.725,1691.4,47.5,304,162.7,52.2,0,49.9,46,0,0,1,49,48,5,0,0,0,0,0,0,0,51,11,190,1,39,39,19,39,19,39,39,38,39,-851583,8,4.863,0.015,13.62,38,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:30:05.825,1729.3,48.9,302,157.2,50.6,0,49.9,46,0,0,1,49,48,5,0,0,0,0,0,0,0,48.9,12,190,1,39,39,19,39,19,39,39,38,39,-851583,8,4.863,0.015,13.593,38,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:30:05.925,1773.8,51.4,299,175.5,55.6,0,49.9,46,0,0,1,50,49,5,0,0,0,0,0,0,0,57.9,12,190,1,39,39,19,39,19,39,38,38,39,-851583,8,4.863,0.015,13.62,38,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:30:06.025,1811,52.1,300,192.6,61.5,0,49.9,46,0,0,1,50,48,5,0,0,0,0,0,0,0,61.5,12,190,1,39,39,19,38,19,39,38,38,39,-851583,8,4.863,0.015,13.593,38,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:30:06.125,1850.7,53.3,299,183.2,65,0,49.9,46,0,0,1,50,49,5,0,0,0,0,0,0,0,61.9,12,190,1,39,39,19,38,19,39,38,38,39,-851583,8,4.863,0.015,13.62,38,0,32,0,0,35,1,1,0,0,0,1,0,0,0
