Time,Motor RPM [Rpm],MC Duty Cycle [%],MC Volts [V],AC Current,DC Current [A],CellId,MC Temp [°C],Motor Temp [°C],Fault Code,MC Throttle [%],Drive Enable,RadIn_Temp [°C],RadOut_Tem [°C],Flowrate,Actual_FOC_id,Actual_FOC_iq,Actual_Brake [%],Rolling_Counter,Relay_State,CRC_Checksum,CRC_Checksum_22,Pack_Current,Pack_CCL,Pack_DCL,Pack_Open_Volta,TSB HighTemp,Pack_SOC,Cell Low,Therm1_Val [°C],Therm1_LowVal [°C],Therm1_HighVal [°C],Therm2_Val [°C],Therm2_LowVal [°C],Therm2_HighVal [°C],Therm1_ID,Therm1_ModNum,AN3 [V],AN6 [V],VBAT [V],Int Temp [°C],CAN1 Load [%],CAN1 ERRORS [hex],CAN2 ERRORS [decimal],ALARMS1 [decimal],uFLAGS1 [decimal],RTD,Energized,LV Low,Motor Temp High,MC Temp High,Logging,TSB Temp,Stop Logging,WATER T ALM
21:53:09.025,0,0.3,315,0,0,0,48.1,49,0,0,1,58,54,8,0,0,0,0,0,0,0,0,12,190,1,40,40,19,37,19,40,39,38,39,-851583,8,4.863,0,13.415,36,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:53:09.125,0,0.5,315,0,0,0,48,49,0,0,1,59,55,8,0,0,0,0,0,0,0,0,12,190,1,40,40,19,38,19,40,39,38,39,-851583,8,4.863,0.015,13.401,36,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:53:09.225,0,0.4,314,0,0,0,48,49,0,0,1,58,55,8,0,0,0,0,0,0,0,0,12,190,1,40,40,19,19,19,40,39,38,39,-851583,8,4.863,0.015,13.353,36,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:53:09.325,0,0.5,316,0,0,0,48,49,0,0,1,58,55,7,0,0,0,0,0,0,0,0,12,190,1,40,40,19,38,19,40,39,38,39,-851583,8,4.863,0.015,13.435,36,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:53:09.425,0,0.4,316,0,0,0,48,49,0,0,1,57,55,8,0,0,0,0,0,0,0,0,12,190,1,40,40,19,38,19,40,39,38,39,-851583,8,4.863,0.015,13.449,35,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:53:09.525,0,0.5,316,0,0,0,48,49,0,0,1,57,55,8,0,0,0,0,0,0,0,0,12,190,1,40,40,19,38,19,40,39,38,39,-851583,8,4.863,0.015,13.442,36,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:53:09.625,0,0.4,315,0,0,0,48,49,0,0,1,58,52,8,0,0,0,0,0,0,0,0,12,190,1,40,40,19,37,19,40,39,38,39,-851583,8,4.863,0.015,13.429,36,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:53:09.725,0,0.5,315,0,0,0,48,49,0,0,1,57,55,7,0,0,0,0,0,0,0,0,12,190,1,40,40,19,38,19,40,39,38,39,-851583,8,4.863,0.015,13.422,36,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:53:09.825,0,0.4,315,0,0,0,48,49,0,0,1,58,55,7,0,0,0,0,0,0,0,0,12,190,1,40,40,19,38,19,40,39,38,39,-851583,8,4.863,0.015,13.435,35,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:53:09.925,0,0.3,316,0,0,0,48,49,0,0,1,58,55,7,0,0,0,0,0,0,0,0,12,190,1,40,40,19,37,19,40,39,38,39,-851583,8,4.863,0.015,13.442,36,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:53:10.025,0,0.5,315,0,0,0,48,49,0,0,1,57,52,8,0,0,0,0,0,0,0,0,12,190,1,40,40,19,39,19,40,39,38,39,-851583,8,4.863,0.015,13.381,36,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:53:10.125,0,0.4,316,0,0,0,48,49,0,0,1,58,54,7,0,0,0,0,0,0,0,0,12,190,1,40,40,19,38,19,40,39,38,39,-851583,8,4.863,0.015,13.415,36,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:53:10.225,0,0.6,315,0,0,0,48,49,0,0,1,57,54,8,0,0,0,0,0,0,0,0,12,190,1,40,40,19,39,19,40,39,38,39,-851583,8,4.863,0.015,13.429,36,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:53:10.325,0,0.6,316,0,0,0,48,49,0,0,1,58,55,7,0,0,0,0,0,0,0,0,12,190,1,40,40,19,39,19,40,39,38,39,-851583,8,4.863,0.015,13.408,36,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:53:10.425,0,0.4,316,0,0,0,48,49,0,0,1,58,55,8,0,0,0,0,0,0,0,0,12,190,1,40,40,19,39,19,40,39,38,39,-851583,8,4.863,0.015,13.422,36,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:53:10.525,0,0.5,315,0,0,0,48,49,0,0,1,59,54,8,0,0,0,0,0,0,0,0,12,190,1,40,40,19,39,19,40,39,38,39,-851583,8,4.863,0.015,13.401,36,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:53:10.625,0,0.5,315,0,0,0,48,49,0,0,1,57,54,7,0,0,0,0,0,0,0,0,12,190,1,40,40,19,38,19,40,39,38,39,-851583,8,4.863,0.015,13.401,36,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:53:10.725,0,0.6,316,0,0,0,48,49,0,0,1,57,54,8,0,0,0,0,0,0,0,0,12,190,1,40,40,19,39,19,40,39,38,39,-851583,8,4.863,0.015,13.394,36,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:53:10.825,0,0.5,316,0,0,0,48,49,0,0,1,60,54,8,0,0,0,0,0,0,0,0,12,190,1,40,40,19,39,19,40,39,38,39,-851583,8,4.863,0.015,13.408,36,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:53:10.925,0,0.4,315,0,0,0,48,49,0,0,1,59,54,8,0,0,0,0,0,0,0,0,12,190,1,40,40,19,38,19,40,38,38,39,-851583,8,4.863,0.015,13.435,36,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:53:11.025,0,0.6,316,0,0,0,48,49,0,0,1,59,54,7,0,0,0,0,0,0,0,0,12,190,1,40,40,19,39,19,40,39,38,39,-851583,8,4.863,0.015,13.442,36,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:53:11.125,0,0.4,314,0,0,0,48,49,0,0,1,61,55,8,0,0,0,0,0,0,0,0,12,190,1,40,40,19,39,19,40,38,38,39,-851583,8,4.863,0.015,13.449,36,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:53:11.225,0,0.5,315,0,0,0,48,49,0,0,1,59,55,8,0,0,0,0,0,0,0,0,12,190,1,40,40,19,38,19,40,39,38,39,-851583,8,4.863,0.015,13.401,36,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:53:11.325,0,0.6,314,0,0,0,48,49,0,0,1,59,56,8,0,0,0,0,0,0,0,0,12,190,1,40,40,19,38,19,40,38,38,39,-851583,8,4.863,0.015,13.422,36,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:53:11.425,0,0.5,316,0,0,0,48,49,0,0,1,59,56,7,0,0,0,0,0,0,0,0,12,190,1,40,40,19,39,19,40,38,38,39,-851583,8,4.863,0.015,13.415,36,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:53:11.525,0,0.4,315,0,0,0,48,49,0,0,1,59,55,8,0,0,0,0,0,0,0,0,12,190,1,40,40,19,39,19,40,38,38,39,-851583,8,4.863,0.015,13.435,35,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:53:11.625,0,0.4,315,0,0,0,48,49,0,0,1,59,55,7,0,0,0,0,0,0,0,0,12,190,1,40,40,19,38,19,40,38,38,39,-851583,8,4.863,0.015,13.442,36,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:53:11.725,0,0.5,316,0,0,0,48,49,0,0,1,59,54,8,0,0,0,0,0,0,0,0,12,190,1,40,40,19,38,19,40,38,38,39,-851583,8,4.863,0.015,13.408,36,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:53:11.825,0,0.5,316,0,0,0,48,49,0,0,1,59,55,8,0,0,0,0,0,0,0,0,12,190,1,40,40,19,39,19,40,39,38,39,-851583,8,4.863,0.015,13.422,36,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:53:11.925,0,0.4,316,0,0,0,48,49,0,0,1,59,54,7,0,0,0,0,0,0,0,0,12,190,1,40,40,19,39,19,40,39,38,39,-851583,8,4.863,0.015,13.456,36,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:53:12.025,0,0.5,316,0,0,0,48,49,0,0,1,58,52,7,0,0,0,0,0,0,0,0,12,190,1,40,40,19,39,19,40,39,38,39,-851583,8,4.863,0.015,13.449,36,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:53:12.125,0,0.4,316,0,0,0,48,49,0,0,1,58,54,8,0,0,0,0,0,0,0,0,12,190,1,40,40,19,39,19,40,39,38,39,-851583,8,4.863,0.015,13.429,36,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:53:12.225,0,0.5,315,0,0,0,48,49,0,0,1,59,56,7,0,0,0,0,0,0,0,0,12,190,1,40,40,19,39,19,40,39,38,39,-851583,8,4.863,0.015,13.415,36,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:53:12.325,0,0.5,316,0,0,0,48,49,0,0,1,58,55,8,0,0,0,0,0,0,0,0,12,190,1,40,40,19,39,19,40,39,38,39,-851583,8,4.863,0.015,13.442,36,0,32,0,0,35,1,1,0,0,0,1,0,0,0
