Time,Motor RPM [Rpm],MC Duty Cycle [%],MC Volts [V],AC Current,DC Current [A],CellId,MC Temp [°C],Motor Temp [°C],Fault Code,MC Throttle [%],Drive Enable,RadIn_Temp [°C],RadOut_Tem [°C],Flowrate,Actual_FOC_id,Actual_FOC_iq,Actual_Brake [%],Rolling_Counter,Relay_State,CRC_Checksum,CRC_Checksum_22,Pack_Current,Pack_CCL,Pack_DCL,Pack_Open_Volta,TSB HighTemp,Pack_SOC,Cell Low,Therm1_Val [°C],Therm1_LowVal [°C],Therm1_HighVal [°C],Therm2_Val [°C],Therm2_LowVal [°C],Therm2_HighVal [°C],Therm1_ID,Therm1_ModNum,AN3 [V],AN6 [V],VBAT [V],Int Temp [°C],CAN1 Load [%],CAN1 ERRORS [hex],CAN2 ERRORS [decimal],ALARMS1 [decimal],uFLAGS1 [decimal],RTD,Energized,LV Low,Motor Temp High,MC Temp High,Logging,TSB Temp,Stop Logging,WATER T ALM
20:48:37.025,0,-0.6,335,0,0,0,42,42.9,0,0,1,49,47,7,0,0,0,0,0,0,0,0,13,190,1,35,35,16,34,16,35,34,33,34,-851583,8,4.863,0,13.381,38,0,16,0,0,35,1,1,0,0,0,1,0,0,0
20:48:37.125,0,-0.5,334,0,0,0,42,42.9,0,0,1,49,46,7,0,0,0,0,0,0,0,0,13,190,1,35,35,16,34,16,35,34,33,34,-851583,8,4.863,0.015,13.367,38,0,16,0,0,35,1,1,0,0,0,1,0,0,0
20:48:37.225,0,-0.5,334,0,0,0,42,42.9,0,0,1,49,45,7,0,0,0,0,0,0,0,0,13,190,1,35,35,16,34,16,35,34,33,34,-851583,8,4.863,0.015,13.394,38,0,16,0,0,35,1,1,0,0,0,1,0,0,0
20:48:37.325,0,-0.5,336,0,0,0,42,42.9,0,0,1,49,47,7,0,0,0,0,0,0,0,0,13,190,1,35,35,16,34,16,35,34,33,34,-851583,8,4.863,0.015,13.415,38,0,16,0,0,35,1,1,0,0,0,1,0,0,0
20:48:37.425,0,-0.6,334,0,0,0,42,42.9,0,0,1,49,48,6,0,0,0,0,0,0,0,0,13,190,1,35,35,16,34,16,35,34,33,34,-851583,8,4.863,0.015,13.401,37,0,16,0,0,35,1,1,0,0,0,1,0,0,0
20:48:37.525,0,-0.5,335,0,0,0,42,42.9,0,0,1,49,46,7,0,0,0,0,0,0,0,0,13,190,1,35,35,16,34,16,35,34,33,34,-851583,8,4.863,0.015,13.408,37,0,16,0,0,35,1,1,0,0,0,1,0,0,0
20:48:37.625,0,-0.5,335,0,0,0,42,42.9,0,0,1,48,46,7,0,0,0,0,0,0,0,0,13,190,1,35,35,16,34,16,35,34,33,34,-851583,8,4.863,0.015,13.388,38,0,16,0,0,35,1,1,0,0,0,1,0,0,0
20:48:37.725,0,-0.4,335,0,0,0,42,42.9,0,0,1,48,45,7,0,0,0,0,0,0,0,0,13,190,1,35,35,16,34,16,35,34,33,34,-851583,8,4.863,0.015,13.388,38,0,16,0,0,35,1,1,0,0,0,1,0,0,0
20:48:37.825,0,-0.4,335,0,0,0,42,42.9,0,0,1,49,46,7,0,0,0,0,0,0,0,0,13,190,1,35,35,16,34,16,35,34,33,34,-851583,8,4.863,0.015,13.367,38,0,16,0,0,35,1,1,0,0,0,1,0,0,0
20:48:37.925,0,-0.4,334,0,0,0,42,42.9,0,0,1,49,47,7,0,0,0,0,0,0,0,0,13,190,1,35,35,16,34,16,35,34,33,34,-851583,8,4.863,0.015,13.36,38,0,16,0,0,35,1,1,0,0,0,1,0,0,0
20:48:38.025,0,-0.4,335,0,0,0,42,42.9,0,0,1,49,47,8,0,0,0,0,0,0,0,0,13,190,1,35,35,16,34,16,35,34,33,34,-851583,8,4.863,0.015,13.381,38,0,16,0,0,35,1,1,0,0,0,1,0,0,0
20:48:38.125,0,-0.5,334,0,0,0,42,42.9,0,0,1,50,46,7,0,0,0,0,0,0,0,0,13,190,1,35,35,16,34,16,35,34,33,34,-851583,8,4.863,0.015,13.388,37,0,16,0,0,35,1,1,0,0,0,1,0,0,0
20:48:38.225,0,0.8,333,3.5,0,0,42,42.2,0,0,1,48,46,8,0,0,0,0,0,0,0,0.1,13,190,1,35,35,16,34,16,35,34,33,34,-851583,8,4.863,0.015,13.353,38,0,16,0,0,35,1,1,0,0,0,1,0,0,0
20:48:38.325,44.8,7.7,332,66.5,4.3,0,42,42,0,0,1,49,46,8,0,0,0,0,0,0,0,1.7,13,190,1,35,35,16,34,16,35,34,33,34,-851583,8,4.863,0.015,13.34,38,0,16,0,0,35,1,1,0,0,0,1,0,0,0
20:48:38.425,19.4,8.3,332,166.8,12.1,0,42,42,0,0,1,48,46,8,0,0,0,0,0,0,0,5.2,13,190,1,35,35,16,34,16,35,34,33,34,-851583,8,4.863,0.015,13.34,38,0,16,0,0,35,1,1,0,0,0,1,0,0,0
20:48:38.525,19.9,8.8,332,207.1,15.8,0,42,42,0,0,1,49,47,8,0,0,0,0,0,0,0,6.8,13,190,1,35,35,16,34,16,35,33,33,34,-851583,8,4.863,0.015,13.299,38,0,16,0,0,35,1,1,0,0,0,1,0,0,0
20:48:38.625,36.9,8.9,330,243.8,18.5,0,42,42,0,0,1,49,47,8,0,0,0,0,0,0,0,9,13,190,1,35,35,16,34,16,35,33,33,34,-851583,8,4.863,0.015,13.347,37,0,16,0,0,35,1,1,0,0,0,1,0,0,0
20:48:38.725,49.2,9,330,268.4,20.5,0,42,42.1,0,0,1,50,47,8,0,0,0,0,0,0,0,10.9,12,190,1,35,35,16,34,16,35,34,33,34,-851583,8,4.863,0.015,13.292,38,0,16,0,0,35,1,1,0,0,0,1,0,0,0
20:48:38.825,43.9,9.9,330,272.8,23.3,0,42,42.4,0,0,1,50,46,8,0,0,0,0,0,0,0,11.6,12,190,1,35,35,16,34,16,35,34,33,34,-851583,8,4.863,0.015,13.299,38,0,16,0,0,35,1,1,0,0,0,1,0,0,0
20:48:38.925,26.3,9.4,330,296,23.3,0,42.9,42,0,0,1,49,47,8,0,0,0,0,0,0,0,11.1,12,190,1,35,35,16,34,16,35,34,33,34,-851583,8,4.863,0.015,13.299,37,0,16,0,0,35,1,1,0,0,0,1,0,0,0
20:48:39.025,5.6,9.6,329,297.5,24.4,0,42.9,42,0,0,1,51,48,8,0,0,0,0,0,0,0,11.6,12,190,1,35,35,16,34,16,35,34,33,34,-851583,8,4.863,0.015,13.306,38,0,16,0,0,35,1,1,0,0,0,1,0,0,0
20:48:39.125,0.7,9.6,331,297.5,24.4,0,42.9,42,0,0,1,50,48,7,0,0,0,0,0,0,0,11.7,12,190,1,35,35,16,34,16,35,34,33,34,-851583,8,4.863,0.015,13.306,37,0,16,0,0,35,1,1,0,0,0,1,0,0,0
20:48:39.225,0,9.6,330,297.8,24.4,0,42.9,42,0,0,1,50,46,8,0,0,0,0,0,0,0,11.7,12,190,1,35,35,16,34,16,35,34,33,34,-851583,8,4.863,0.015,13.306,38,0,16,0,0,35,1,1,0,0,0,1,0,0,0
20:48:39.325,0,9.6,331,297.5,24.4,0,42.9,42,0,0,1,52,47,8,0,0,0,0,0,0,0,11.7,12,190,1,35,35,16,34,16,35,34,33,34,-851583,8,4.863,0.015,13.312,38,0,16,0,0,35,1,1,0,0,0,1,0,0,0
20:48:39.425,0,9.5,329,297.7,24.5,0,42.9,42,0,0,1,50,46,8,0,0,0,0,0,0,0,11.8,12,190,1,35,35,16,35,16,35,34,33,34,-851583,8,4.863,0.015,13.299,38,0,16,0,0,35,1,1,0,0,0,1,0,0,0
20:48:39.525,10,10.4,330,296.3,26.4,0,42.9,42,0,0,1,52,47,8,0,0,0,0,0,0,0,12.9,12,190,1,35,35,16,34,16,35,34,33,34,-851583,8,4.863,0.015,13.319,37,0,16,0,0,35,1,1,0,0,0,1,0,0,0
20:48:39.625,84.8,10.7,327,350.2,31.5,0,43.9,42.1,0,0,1,51,47,8,0,0,0,0,0,0,0,17.9,12,190,1,35,35,16,34,16,35,34,33,34,-851583,8,4.863,0.015,13.319,38,0,16,0,0,35,1,1,0,0,0,1,0,0,0
20:48:39.725,163.6,13.2,327,318.7,35.1,0,43.9,42,0,0,1,51,50,7,0,0,0,0,0,0,0,24.7,12,190,1,35,35,16,34,16,35,33,33,34,-851583,8,4.863,0.015,13.312,38,0,16,0,0,35,1,1,0,0,0,1,0,0,0
20:48:39.825,247.3,15.1,327,312.4,41,0,44.9,42.3,0,0,1,51,49,8,0,0,0,0,0,0,0,24.8,12,190,1,35,35,16,34,16,35,33,33,34,-851583,8,4.863,0.015,13.347,37,0,16,0,0,35,1,1,0,0,0,1,0,0,0
20:48:39.925,330.1,17,325,328.6,44.5,0,44.9,42.1,0,0,1,50,49,8,0,0,0,0,0,0,0,33.5,12,190,1,35,35,16,34,16,35,34,33,34,-851583,8,4.863,0.015,13.319,38,0,16,0,0,35,1,1,0,0,0,1,0,0,0
20:48:40.025,411.4,19.8,323,354.5,43.5,0,44.9,42,0,0,1,49,48,8,0,0,0,0,0,0,0,37.1,12,190,1,35,35,16,34,16,35,34,33,34,-851583,8,4.863,0.015,13.326,38,0,16,0,0,35,1,1,0,0,0,1,0,0,0
20:48:40.125,497.7,21.4,323,354.7,45.9,0,44.9,42,0,0,1,50,48,7,0,0,0,0,0,0,0,39.7,12,190,1,35,35,16,34,16,35,33,33,34,-851583,8,4.863,0.015,13.312,38,0,16,0,0,35,1,1,0,0,0,1,0,0,0
20:48:40.225,605.6,26.7,320,321.8,52.7,0,45.3,42,0,0,1,50,48,8,0,0,0,0,0,0,0,47.2,12,190,1,35,35,16,34,16,35,34,33,34,-851583,8,4.863,0.015,13.292,38,0,16,0,0,35,1,1,0,0,0,1,0,0,0
20:48:40.325,669.7,25.4,320,359.4,50.7,0,45.7,42,0,0,1,51,48,8,0,0,0,0,0,0,0,40.8,12,190,1,35,35,16,34,16,35,34,33,34,-851583,8,4.863,0.015,13.312,38,0,16,0,0,35,1,1,0,0,0,1,0,0,0
20:48:40.425,746.1,28.9,320,325.2,60.2,0,45.9,42.1,0,0,1,50,48,8,0,0,0,0,0,0,0,51.7,12,190,1,35,35,16,34,16,35,34,33,34,-851583,8,4.863,0.015,13.347,38,0,16,0,0,35,1,1,0,0,0,1,0,0,0
20:48:40.525,830.9,30.5,317,350.3,57.3,0,45.9,42.1,0,0,1,51,48,8,0,0,0,0,0,0,0,55.5,12,190,1,35,35,16,34,16,35,34,33,34,-851583,8,4.863,0.015,13.333,38,0,16,0,0,35,1,1,0,0,0,1,0,0,0
20:48:40.625,913.9,32.3,314,332.1,68.5,0,45.9,42,0,0,1,49,47,8,0,0,0,0,0,0,0,60,12,190,1,35,35,16,34,16,35,33,33,34,-851583,8,4.863,0.015,13.319,38,0,16,0,0,35,1,1,0,0,0,1,0,0,0
20:48:40.725,1010.7,36.4,316,357.9,66,0,45.9,42,0,0,1,50,47,8,0,0,0,0,0,0,0,59.8,12,190,1,35,35,16,34,16,35,34,33,34,-851583,8,4.863,0.015,13.36,38,0,16,0,0,35,1,1,0,0,0,1,0,0,0
20:48:40.825,1078.7,37,311,341.9,67.3,0,45.9,42,0,0,1,50,47,8,0,0,0,0,0,0,0,61.5,12,190,1,35,35,16,34,16,35,34,33,34,-851583,8,4.863,0.015,13.326,38,0,16,0,0,35,1,1,0,0,0,1,0,0,0
20:48:40.925,1154.8,39.8,312,319,72.2,0,45.9,42.1,0,0,1,50,48,8,0,0,0,0,0,0,0,64.7,12,190,1,35,35,16,34,16,35,34,33,34,-851583,8,4.863,0.015,13.34,38,0,16,0,0,35,1,1,0,0,0,1,0,0,0
20:48:41.025,1244,42.3,312,327.2,76.4,0,45.9,42,0,0,1,50,48,8,0,0,0,0,0,0,0,70.2,12,190,1,35,35,16,33,16,35,34,33,34,-851583,8,4.863,0.015,13.388,38,0,16,0,0,35,1,1,0,0,0,1,0,0,0
20:48:41.125,1330.2,44,309,313.5,80.1,0,45.9,42,0,0,1,49,47,7,0,0,0,0,0,0,0,78.2,12,190,1,35,35,16,34,16,35,34,33,34,-851583,8,4.863,0.015,13.353,37,0,16,0,0,35,1,1,0,0,0,1,0,0,0
20:48:41.225,1411.7,47.1,311,336.4,73.1,0,45.9,42.1,0,0,1,49,47,8,0,0,0,0,0,0,0,83.3,12,190,1,35,35,16,34,16,35,34,33,34,-851583,8,4.863,0.015,13.408,38,0,16,0,0,35,1,1,0,0,0,1,0,0,0
20:48:41.325,1506,49.4,305,344.1,86,0,45.9,41.9,0,0,1,50,48,8,0,0,0,0,0,0,0,87.6,12,190,1,35,35,16,34,16,35,34,33,34,-851583,8,4.863,0.015,13.333,38,0,16,0,0,35,1,1,0,0,0,1,0,0,0
20:48:41.425,1576.3,52.1,308,316.4,78.1,0,46.9,42.1,0,0,1,51,47,8,0,0,0,0,0,0,0,79.2,12,190,1,35,35,16,34,16,35,34,33,34,-851583,8,4.863,0.015,13.353,38,0,16,0,0,35,1,1,0,0,0,1,0,0,0
20:48:41.525,1652.3,48.7,308,263.7,74.4,0,46.9,41.9,0,0,1,50,47,7,0,0,0,0,0,0,0,74.7,12,190,1,35,35,16,34,16,35,34,33,34,-851583,8,4.863,0.015,13.374,38,0,16,0,0,35,1,1,0,0,0,1,0,0,0
20:48:41.625,1664.6,31.9,325,54.3,21.9,0,46.9,41.9,0,0,1,50,48,8,0,0,0,0,0,0,0,17.3,12,190,1,35,35,16,34,16,35,34,33,34,-851583,8,4.863,0.015,13.36,38,0,16,0,0,35,1,1,0,0,0,1,0,0,0
20:48:41.725,1616.7,22.7,332,0,0,0,46.9,41.9,0,0,1,50,48,8,0,0,0,0,0,0,0,-0.5,12,190,1,35,35,16,34,16,35,34,33,34,-851583,8,4.863,0.015,13.381,38,0,16,0,0,35,1,1,0,0,0,1,0,0,0
20:48:41.825,1549.6,29,332,0,0,0,46.9,42.1,0,0,1,50,47,8,0,0,0,0,0,0,0,0,12,190,1,35,35,16,34,16,35,34,33,34,-851583,8,4.863,0.015,13.394,38,0,16,0,0,35,1,1,0,0,0,1,0,0,0
20:48:41.925,1469,22.2,331,-0.1,0,0,47.7,42,0,0,1,50,47,8,0,0,0,0,0,0,0,0,12,190,1,35,35,16,34,16,35,34,33,34,-851583,8,4.863,0.015,13.429,38,0,16,0,0,35,1,1,0,0,0,1,0,0,0
20:48:42.025,1401.4,26.3,331,-1.3,0,0,47.9,42,0,0,1,49,47,8,0,0,0,0,0,0,0,-0.5,12,190,1,35,35,16,34,16,35,34,33,34,-851583,8,4.863,0.015,13.367,38,0,16,0,0,35,1,1,0,0,0,1,0,0,0
20:48:42.125,1474.7,46,317,210.7,52.5,0,47.9,42.1,0,0,1,50,47,8,0,0,0,0,0,0,0,47.8,12,190,1,35,35,16,16,16,35,34,33,34,-851583,8,4.863,0.015,13.347,38,0,16,0,0,35,1,1,0,0,0,1,0,0,0
20:48:42.225,1517.4,41.8,316,188.4,54.4,0,47.9,42,0,0,1,50,47,7,0,0,0,0,0,0,0,54.2,12,190,1,35,35,16,34,16,35,34,33,34,-851583,8,4.863,0.015,13.319,38,0,16,0,0,35,1,1,0,0,0,1,0,0,0
20:48:42.325,1546.2,47.4,316,196.7,61.8,0,47.9,42,0,0,1,50,48,7,0,0,0,0,0,0,0,56.4,12,190,1,35,35,16,34,16,35,34,33,34,-851583,8,4.863,0.015,13.326,37,0,16,0,0,35,1,1,0,0,0,1,0,0,0
20:48:42.425,1589.6,40.6,316,162.5,48.2,0,47.9,42,0,0,1,50,48,8,0,0,0,0,0,0,0,45.9,12,190,1,35,35,16,34,16,35,34,33,34,-851583,8,4.863,0.015,13.326,38,0,16,0,0,35,1,1,0,0,0,1,0,0,0
20:48:42.525,1535.5,27.2,333,0,0,0,47.9,42,0,0,1,51,48,7,0,0,0,0,0,0,0,0.1,12,190,1,35,35,16,34,16,35,34,33,34,-851583,8,4.863,0.015,13.333,38,0,16,0,0,35,1,1,0,0,0,1,0,0,0
20:48:42.625,1501.5,29.4,332,0,0,0,47.9,42.4,0,0,1,49,47,7,0,0,0,0,0,0,0,0,12,190,1,35,35,16,34,16,35,34,33,34,-851583,8,4.863,0.015,13.394,38,0,16,0,0,35,1,1,0,0,0,1,0,0,0
20:48:42.725,1455.1,30.1,331,6.9,0.8,0,47.9,42,0,0,1,50,47,7,0,0,0,0,0,0,0,0.9,12,190,1,35,35,16,34,16,35,34,33,34,-851583,8,4.863,0.015,13.36,38,0,16,0,0,35,1,1,0,0,0,1,0,0,0
20:48:42.825,1527.3,48.3,315,215.3,44,0,47.9,42,0,0,1,50,47,7,0,0,0,0,0,0,0,53.6,12,190,1,35,35,16,34,16,35,34,33,34,-851583,8,4.863,0.015,13.306,38,0,16,0,0,35,1,1,0,0,0,1,0,0,0
20:48:42.925,1651.6,48.4,311,229.1,64.8,0,47.9,42.1,0,0,1,50,47,7,0,0,0,0,0,0,0,66.8,12,190,1,35,35,16,34,16,35,34,33,34,-851583,8,4.863,0.015,13.312,38,0,16,0,0,35,1,1,0,0,0,1,0,0,0
20:48:43.025,1706.1,50,312,210.2,62.7,0,47.9,42,0,0,1,50,48,7,0,0,0,0,0,0,0,63.8,12,190,1,35,35,16,34,16,35,34,33,34,-851583,8,4.863,0.015,13.306,38,0,16,0,0,35,1,1,0,0,0,1,0,0,0
20:48:43.125,1607.5,26.4,332,0,0,0,47.9,42.4,0,0,1,55,47,7,0,0,0,0,0,0,0,0,12,190,1,35,35,16,34,16,35,34,33,34,-851583,8,4.863,0.015,13.347,38,0,16,0,0,35,1,1,0,0,0,1,0,0,0
