Time,Motor RPM [Rpm],MC Duty Cycle [%],MC Volts [V],AC Current,DC Current [A],CellId,MC Temp [°C],Motor Temp [°C],Fault Code,MC Throttle [%],Drive Enable,RadIn_Temp [°C],RadOut_Tem [°C],Flowrate,Actual_FOC_id,Actual_FOC_iq,Actual_Brake [%],Rolling_Counter,Relay_State,CRC_Checksum,CRC_Checksum_22,Pack_Current,Pack_CCL,Pack_DCL,Pack_Open_Volta,TSB HighTemp,Pack_SOC,Cell Low,Therm1_Val [°C],Therm1_LowVal [°C],Therm1_HighVal [°C],Therm2_Val [°C],Therm2_LowVal [°C],Therm2_HighVal [°C],Therm1_ID,Therm1_ModNum,AN3 [V],AN6 [V],VBAT [V],Int Temp [°C],CAN1 Load [%],CAN1 ERRORS [hex],CAN2 ERRORS [decimal],ALARMS1 [decimal],uFLAGS1 [decimal],RTD,Energized,LV Low,Motor Temp High,MC Temp High,Logging,TSB Temp,Stop Logging,WATER T ALM
18:10:04.025,0,-2.4,1,0,0,0,25,23,2,0,0,33,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.863,0.015,14.468,34,0,32,0,0,32,0,0,0,0,0,1,0,0,0
18:10:04.125,0,-2.9,1,0,0,0,25,23,2,0,0,33,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.863,0.015,14.468,34,0,32,0,0,32,0,0,0,0,0,1,0,0,0
18:10:04.225,0,3.3,1,0,0,0,25,23,2,0,0,34,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.863,0.015,14.468,34,0,32,0,0,32,0,0,0,0,0,1,0,0,0
18:10:04.325,0,-2.1,1,0,0,0,25,23,2,0,0,33,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.863,0.015,14.468,34,0,32,0,0,32,0,0,0,0,0,1,0,0,0
18:10:04.425,0,-1,1,0,0,0,25,23,2,0,0,33,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.863,0.015,14.468,34,0,32,0,0,32,0,0,0,0,0,1,0,0,0
18:10:04.525,0,-1,1,0,0,0,25,23,2,0,0,33,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.863,0.015,14.468,34,0,32,0,0,32,0,0,0,0,0,1,0,0,0
18:10:04.625,0,1.4,1,0,0,0,25,23,2,0,0,33,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.863,0.015,14.468,34,0,32,0,0,32,0,0,0,0,0,1,0,0,0
18:10:04.725,0,3.8,1,0,0,0,25,23,2,0,0,33,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.863,0.015,14.468,34,0,32,0,0,32,0,0,0,0,0,1,0,0,0
18:10:04.825,0,2,1,0,0,0,25,23,2,0,0,33,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.863,0.015,14.468,34,0,32,0,0,32,0,0,0,0,0,1,0,0,0
18:10:04.925,0,-1.6,1,0,0,0,25,23,2,0,0,33,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.863,0.015,14.468,34,0,32,0,0,32,0,0,0,0,0,1,0,0,0
18:10:05.025,0,3.6,1,0,0,0,25,23,2,0,0,33,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.863,0.015,14.468,34,0,32,0,0,32,0,0,0,0,0,1,0,0,0
18:10:05.125,0,-3.3,1,0,0,0,25,23,2,0,0,33,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.863,0.015,14.468,34,0,32,0,0,32,0,0,0,0,0,1,0,0,0
18:10:05.225,0,-1.7,1,0,0,0,25,23,2,0,0,33,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.863,0.015,14.468,34,0,32,0,0,32,0,0,0,0,0,1,0,0,0
18:10:05.325,0,1.6,1,0,0,0,25,23,2,0,0,33,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.863,0.015,14.468,34,0,32,0,0,32,0,0,0,0,0,1,0,0,0
18:10:05.425,0,5.9,1,0,0,0,25,23,2,0,0,33,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.863,0.015,14.468,34,0,32,0,0,32,0,0,0,0,0,1,0,0,0
18:10:05.525,0,2.1,1,0,0,0,25,23,2,0,0,33,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.863,0.015,14.468,34,0,32,0,0,32,0,0,0,0,0,1,0,0,0
18:10:05.625,0,3.3,1,0,0,0,25,23,2,0,0,33,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.863,0.015,14.468,34,0,32,0,0,32,0,0,0,0,0,1,0,0,0
18:10:05.725,0,-0.3,1,0,0,0,25,23,2,0,0,33,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.863,0.015,14.468,34,0,32,0,0,32,0,0,0,0,0,1,0,0,0
18:10:05.825,0,0.7,1,0,0,0,25,23,2,0,0,37,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.863,0.015,14.468,34,0,32,0,0,32,0,0,0,0,0,1,0,0,0
18:10:05.925,0,-1.4,1,0,0,0,25,23,2,0,0,37,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.863,0.015,14.468,34,0,32,0,0,32,0,0,0,0,0,1,0,0,0
18:10:06.025,0,-2.7,1,0,0,0,25,23,2,0,0,35,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.863,0.015,14.468,34,0,32,0,0,32,0,0,0,0,0,1,0,0,0
18:10:06.125,0,-2.6,1,0,0,0,25,23,2,0,0,35,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.863,0.015,14.468,34,0,32,0,0,32,0,0,0,0,0,1,0,0,0
18:10:06.225,0,-10.2,1,0,0,0,25,23,2,0,0,34,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.863,0.015,14.468,34,0,32,0,0,32,0,0,0,0,0,1,0,0,0
18:10:06.325,0,3.5,1,0,0,0,25,23,2,0,0,34,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.863,0.015,14.468,34,0,32,0,0,32,0,0,0,0,0,1,0,0,0
18:10:06.425,0,0.4,1,0,0,0,25,23,2,0,0,34,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.863,0.015,14.468,34,0,32,0,0,32,0,0,0,0,0,1,0,0,0
18:10:06.525,0,-2,1,0,0,0,25,23,2,0,0,34,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.863,0.015,14.468,34,0,32,0,0,32,0,0,0,0,0,1,0,0,0
18:10:06.625,0,3.3,1,0,0,0,25,23,2,0,0,34,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.863,0.015,14.468,34,0,32,0,0,32,0,0,0,0,0,1,0,0,0
18:10:06.725,0,-7.6,1,0,0,0,25,23,2,0,0,33,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.863,0.015,14.454,34,0,32,0,0,32,0,0,0,0,0,1,0,0,0
18:10:06.825,0,1.7,1,0,0,0,25,23,2,0,0,33,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.863,0.015,14.454,34,0,32,0,0,32,0,0,0,0,0,1,0,0,0
18:10:06.925,0,1.3,1,0,0,0,25,23,2,0,0,33,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.863,0.015,14.454,34,0,32,0,0,32,0,0,0,0,0,1,0,0,0
18:10:07.025,0,1.5,1,0,0,0,25,23,2,0,0,34,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.863,0.015,14.447,34,0,32,0,0,32,0,0,0,0,0,1,0,0,0
18:10:07.125,0,1,1,0,0,0,25,23,2,0,0,33,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.863,0.015,14.454,34,0,32,0,0,32,0,0,0,0,0,1,0,0,0
18:10:07.225,0,3.2,1,0,0,0,25,23,2,0,0,33,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.863,0.015,14.454,34,0,32,0,0,32,0,0,0,0,0,1,0,0,0
18:10:07.325,0,-3.8,1,0,0,0,25,23,2,0,0,33,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.863,0.015,14.454,34,0,32,0,0,32,0,0,0,0,0,1,0,0,0
18:10:07.425,0,1.4,1,0,0,0,25,23,2,0,0,33,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.863,0.015,14.447,34,0,32,0,0,32,0,0,0,0,0,1,0,0,0
18:10:07.525,0,-0.6,1,0,0,0,25,23,2,0,0,33,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.863,0.015,14.454,34,0,32,0,0,32,0,0,0,0,0,1,0,0,0
18:10:07.625,0,5.1,1,0,0,0,25,23,2,0,0,33,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.863,0.015,14.447,34,0,32,0,0,32,0,0,0,0,0,1,0,0,0
18:10:07.725,0,3.1,1,0,0,0,25,23,2,0,0,33,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.863,0.015,14.454,34,0,32,0,0,32,0,0,0,0,0,1,0,0,0
18:10:07.825,0,3.3,1,0,0,0,25,23,2,0,0,33,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.863,0.015,14.447,34,0,32,0,0,32,0,0,0,0,0,1,0,0,0
18:10:07.925,0,-5.3,1,0,0,0,25,23,2,0,0,33,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.863,0.015,14.454,34,0,32,0,0,32,0,0,0,0,0,1,0,0,0
