Time,Motor RPM [Rpm],MC Duty Cycle [%],MC Volts [V],AC Current,DC Current [A],CellId,MC Temp [°C],Motor Temp [°C],Fault Code,MC Throttle [%],Drive Enable,RadIn_Temp [°C],RadOut_Tem [°C],Flowrate,Actual_FOC_id,Actual_FOC_iq,Actual_Brake [%],Rolling_Counter,Relay_State,CRC_Checksum,CRC_Checksum_22,Pack_Current,Pack_CCL,Pack_DCL,Pack_Open_Volta,TSB HighTemp,Pack_SOC,Cell Low,Therm1_Val [°C],Therm1_LowVal [°C],Therm1_HighVal [°C],Therm2_Val [°C],Therm2_LowVal [°C],Therm2_HighVal [°C],Therm1_ID,Therm1_ModNum,AN3 [V],AN6 [V],VBAT [V],Int Temp [°C],CAN1 Load [%],CAN1 ERRORS [hex],CAN2 ERRORS [decimal],ALARMS1 [decimal],uFLAGS1 [decimal],RTD,Energized,LV Low,Motor Temp High,MC Temp High,Logging,TSB Temp,Stop Logging,WATER T ALM
20:14:12.025,0,-1.8,1,0,0,0,49,48,2,0,0,46,47,0,0,0,0,0,0,0,0,0,13,190,1,34,34,16,34,16,34,34,33,34,-851583,8,4.863,0,14.55,37,0,32,0,0,32,0,0,0,0,0,1,0,0,0
20:14:12.125,0,-2.6,1,0,0,0,49,48,2,0,0,47,47,0,0,0,0,0,0,0,0,0,13,190,1,34,34,16,34,15,34,33,33,34,-851583,8,4.863,0.015,14.557,37,0,32,0,0,32,0,0,0,0,0,1,0,0,0
20:14:12.225,0,-5.2,1,0,0,0,49,48,2,0,0,46,47,0,0,0,0,0,0,0,0,0,13,190,1,34,34,16,34,15,34,33,33,34,-851583,8,4.863,0.015,14.55,37,0,32,0,0,32,0,0,0,0,0,1,0,0,0
20:14:12.325,0,-6.2,1,0,0,0,49,48,2,0,0,46,47,0,0,0,0,0,0,0,0,0,13,190,1,34,34,16,34,15,34,33,33,34,-851583,8,4.863,0.015,14.557,37,0,32,0,0,32,0,0,0,0,0,1,0,0,0
20:14:12.425,0,-3.7,1,0,0,0,49,48,2,0,0,46,47,0,0,0,0,0,0,0,0,0,13,190,1,34,34,16,33,15,34,34,33,34,-851583,8,4.863,0.015,14.557,37,0,32,0,0,32,0,0,0,0,0,1,0,0,0
20:14:12.525,0,-2.7,1,0,0,0,49,48,2,0,0,49,48,0,0,0,0,0,0,0,0,0,13,190,1,34,34,16,34,15,34,34,33,34,-851583,8,4.863,0.015,14.557,37,0,32,0,0,32,0,0,0,0,0,1,0,0,0
20:14:12.625,0,-3.3,1,0,0,0,49,48,2,0,0,49,47,0,0,0,0,0,0,0,0,0,13,190,1,34,34,16,33,15,34,34,33,34,-851583,8,4.863,0.015,14.557,37,0,32,0,0,32,0,0,0,0,0,1,0,0,0
20:14:12.725,0,-5.2,1,0,0,0,49,48,2,0,0,49,47,0,0,0,0,0,0,0,0,0,13,190,1,34,34,16,34,15,34,33,33,34,-851583,8,4.863,0.015,14.557,37,0,32,0,0,32,0,0,0,0,0,1,0,0,0
20:14:12.825,0.1,-3.4,1,0,0,0,49,48,2,0,0,48,49,0,0,0,0,0,0,0,0,0,13,190,1,34,34,16,34,15,34,33,33,34,-851583,8,4.863,0.015,14.557,37,0,32,0,0,32,0,0,0,0,0,1,0,0,0
20:14:12.925,0,3.4,1,0,0,0,49,48,2,0,0,48,48,0,0,0,0,0,0,0,0,0,13,190,1,34,34,16,33,15,34,34,33,34,-851583,8,4.863,0.015,14.557,37,0,32,0,0,32,0,0,0,0,0,1,0,0,0
