elapsed_s,relative_heading_deg,centered_heading_deg,longitudinal_delta_v_m_s,lateral_delta_v_m_s
0.0,0.0,0.0,0.0,0.0
0.05,0.004435000000000001,-0.0004700000000000003,-0.091765727375,-0.055701772
0.1,0.0082625,-0.0015475000000000007,-0.1585735305,-0.09863038237499999
0.15,0.0123425,-0.002372500000000001,-0.20753323062499998,-0.14195125874999998
0.2,0.01667,-0.0029500000000000012,-0.25168767225,-0.19539750125
0.25,0.0215225,-0.0030025000000000013,-0.302755802125,-0.26183755499999994
0.3,0.027334999999999998,-0.002095000000000002,-0.37027458737499996,-0.3421785351249999
0.35,0.0329125,-0.0014225000000000023,-0.4642958442499999,-0.4378424058749999
0.4,0.037935,-0.0013050000000000028,-0.580234963875,-0.53833605175
0.45,0.042910000000000004,-0.0012350000000000032,-0.6909765589999999,-0.621766126625
0.5,0.047470000000000005,-0.0015800000000000037,-0.7747988998749998,-0.682959622625
0.55,0.051542500000000005,-0.002412500000000005,-0.8464855113749999,-0.745427983125
0.6,0.0546675,-0.004192500000000003,-0.9321956323749998,-0.8233173007499999
0.65,0.05757,-0.006195000000000004,-1.020283866,-0.897283958375
0.7,0.0613175,-0.007352500000000003,-1.1017526108749998,-0.9660530914999998
0.75,0.0651325,-0.008442500000000004,-1.1921699238749999,-1.044996624
0.8,0.06913,-0.009350000000000004,-1.280356224,-1.118154233
0.85,0.07368499999999999,-0.009700000000000004,-1.3514789531249998,-1.17949482875
0.9,0.07778249999999999,-0.010507500000000005,-1.4261320762499998,-1.2530937370000002
0.95,0.08067749999999999,-0.012517500000000003,-1.5254979573749996,-1.34856147475
1.0,0.08321999999999999,-0.014880000000000004,-1.6441093891249996,-1.456017842125
1.05,0.08630499999999999,-0.016700000000000007,-1.7667415473749997,-1.5654845727500002
1.1,0.08996749999999999,-0.017942500000000007,-1.8826806669999998,-1.6715680091250003
1.15,0.09426749999999998,-0.018547500000000005,-1.9859937247499995,-1.7716203557499999
1.2,0.09846249999999998,-0.019257500000000007,-2.0698896154999997,-1.862111218625
1.25,0.10186749999999999,-0.02075750000000001,-2.132039259875,-1.940025052875
1.3,0.10525249999999998,-0.02227750000000001,-2.17957699575,-2.004650876375
1.35,0.10998749999999999,-0.02244750000000001,-2.228487662625,-2.058587451375
1.4,0.11625999999999996,-0.021080000000000015,-2.2976245451249997,-2.110979479
1.45,0.12241749999999997,-0.019827500000000015,-2.39571556175,-2.1771743665
1.5,0.12774749999999999,-0.019402500000000013,-2.504986159375,-2.2596237763750002
1.55,0.1327325,-0.019322500000000013,-2.594667973625,-2.33971959025
1.6,0.13727250000000002,-0.019687500000000014,-2.675621869375,-2.411038452375
1.65,0.141105,-0.02076000000000001,-2.7653036836249996,-2.48319087975
1.7,0.144595,-0.022175000000000014,-2.8512834874999995,-2.556569138375
1.75,0.14880000000000002,-0.022875000000000013,-2.9354245444999996,-2.62950609775
1.8,0.1542475,-0.022332500000000012,-3.022973412375,-2.7028598397500003
1.85,0.15986250000000002,-0.021622500000000013,-3.10993388125,-2.7754780830000003
1.9,0.16493750000000001,-0.021452500000000013,-3.1962078846249997,-2.847655027
1.95,0.17031500000000002,-0.020980000000000013,-3.2820405887499997,-2.92056746975
2.0,0.17577750000000003,-0.020422500000000014,-3.3687558913749998,-2.99480381025
2.05,0.1802775,-0.020827500000000013,-3.4565499254999996,-3.0698246827499998
2.1,0.18378750000000002,-0.02222250000000002,-3.5442213765,-3.14415908975
2.15,0.187165,-0.023750000000000014,-3.6313289451249995,-3.217831547875
2.2,0.1907125,-0.025107500000000022,-3.720520426875,-3.2913569062500003
