recording_id,channel,state
18385fe48224fbfa0cd6d17705d9305f857d70ef07b47b55502d04ff71359269,InlineAcc,dynamic
18385fe48224fbfa0cd6d17705d9305f857d70ef07b47b55502d04ff71359269,LateralAcc,dynamic
18385fe48224fbfa0cd6d17705d9305f857d70ef07b47b55502d04ff71359269,VerticalAcc,dynamic
18385fe48224fbfa0cd6d17705d9305f857d70ef07b47b55502d04ff71359269,RollRate,dynamic
18385fe48224fbfa0cd6d17705d9305f857d70ef07b47b55502d04ff71359269,PitchRate,dynamic
18385fe48224fbfa0cd6d17705d9305f857d70ef07b47b55502d04ff71359269,YawRate,dynamic
18385fe48224fbfa0cd6d17705d9305f857d70ef07b47b55502d04ff71359269,ECU VehSpeed,constant
18385fe48224fbfa0cd6d17705d9305f857d70ef07b47b55502d04ff71359269,ECU WheelSpdFL,constant
18385fe48224fbfa0cd6d17705d9305f857d70ef07b47b55502d04ff71359269,ECU WheelSpdFR,constant
18385fe48224fbfa0cd6d17705d9305f857d70ef07b47b55502d04ff71359269,ECU WheelSpdRL,constant
18385fe48224fbfa0cd6d17705d9305f857d70ef07b47b55502d04ff71359269,ECU WheelSpdRR,constant
18385fe48224fbfa0cd6d17705d9305f857d70ef07b47b55502d04ff71359269,Oil Pressure,dynamic
27937681c8199780c6cbce603f217d5a4457c351e84fa3cd7cfc62bfd270c550,InlineAcc,dynamic
27937681c8199780c6cbce603f217d5a4457c351e84fa3cd7cfc62bfd270c550,LateralAcc,dynamic
27937681c8199780c6cbce603f217d5a4457c351e84fa3cd7cfc62bfd270c550,VerticalAcc,dynamic
27937681c8199780c6cbce603f217d5a4457c351e84fa3cd7cfc62bfd270c550,RollRate,dynamic
27937681c8199780c6cbce603f217d5a4457c351e84fa3cd7cfc62bfd270c550,PitchRate,dynamic
27937681c8199780c6cbce603f217d5a4457c351e84fa3cd7cfc62bfd270c550,YawRate,dynamic
27937681c8199780c6cbce603f217d5a4457c351e84fa3cd7cfc62bfd270c550,ECU VehSpeed,constant
27937681c8199780c6cbce603f217d5a4457c351e84fa3cd7cfc62bfd270c550,ECU WheelSpdFL,constant
27937681c8199780c6cbce603f217d5a4457c351e84fa3cd7cfc62bfd270c550,ECU WheelSpdFR,constant
27937681c8199780c6cbce603f217d5a4457c351e84fa3cd7cfc62bfd270c550,ECU WheelSpdRL,constant
27937681c8199780c6cbce603f217d5a4457c351e84fa3cd7cfc62bfd270c550,ECU WheelSpdRR,constant
27937681c8199780c6cbce603f217d5a4457c351e84fa3cd7cfc62bfd270c550,Oil Pressure,dynamic
4975a35d789765b9299480af66d6a5af5166fef074cef80facbac97409b84d07,InlineAcc,dynamic
4975a35d789765b9299480af66d6a5af5166fef074cef80facbac97409b84d07,LateralAcc,dynamic
4975a35d789765b9299480af66d6a5af5166fef074cef80facbac97409b84d07,VerticalAcc,dynamic
4975a35d789765b9299480af66d6a5af5166fef074cef80facbac97409b84d07,RollRate,dynamic
4975a35d789765b9299480af66d6a5af5166fef074cef80facbac97409b84d07,PitchRate,dynamic
4975a35d789765b9299480af66d6a5af5166fef074cef80facbac97409b84d07,YawRate,dynamic
4975a35d789765b9299480af66d6a5af5166fef074cef80facbac97409b84d07,ECU VehSpeed,constant
4975a35d789765b9299480af66d6a5af5166fef074cef80facbac97409b84d07,ECU WheelSpdFL,constant
4975a35d789765b9299480af66d6a5af5166fef074cef80facbac97409b84d07,ECU WheelSpdFR,constant
4975a35d789765b9299480af66d6a5af5166fef074cef80facbac97409b84d07,ECU WheelSpdRL,constant
4975a35d789765b9299480af66d6a5af5166fef074cef80facbac97409b84d07,ECU WheelSpdRR,constant
4975a35d789765b9299480af66d6a5af5166fef074cef80facbac97409b84d07,Oil Pressure,dynamic
5790cd1534b1de5ac4693367fe5d8ca6951cd36a7abcd3c778cee8923a932a75,InlineAcc,dynamic
5790cd1534b1de5ac4693367fe5d8ca6951cd36a7abcd3c778cee8923a932a75,LateralAcc,dynamic
5790cd1534b1de5ac4693367fe5d8ca6951cd36a7abcd3c778cee8923a932a75,VerticalAcc,dynamic
5790cd1534b1de5ac4693367fe5d8ca6951cd36a7abcd3c778cee8923a932a75,RollRate,dynamic
5790cd1534b1de5ac4693367fe5d8ca6951cd36a7abcd3c778cee8923a932a75,PitchRate,dynamic
5790cd1534b1de5ac4693367fe5d8ca6951cd36a7abcd3c778cee8923a932a75,YawRate,dynamic
5790cd1534b1de5ac4693367fe5d8ca6951cd36a7abcd3c778cee8923a932a75,ECU VehSpeed,constant
5790cd1534b1de5ac4693367fe5d8ca6951cd36a7abcd3c778cee8923a932a75,ECU WheelSpdFL,constant
5790cd1534b1de5ac4693367fe5d8ca6951cd36a7abcd3c778cee8923a932a75,ECU WheelSpdFR,constant
5790cd1534b1de5ac4693367fe5d8ca6951cd36a7abcd3c778cee8923a932a75,ECU WheelSpdRL,constant
5790cd1534b1de5ac4693367fe5d8ca6951cd36a7abcd3c778cee8923a932a75,ECU WheelSpdRR,constant
5790cd1534b1de5ac4693367fe5d8ca6951cd36a7abcd3c778cee8923a932a75,Oil Pressure,dynamic
5c12d7b5eff374be805bae6c5e2906f6c02b6bc3ad6ba70d3674bafd4f16fc15,InlineAcc,dynamic
5c12d7b5eff374be805bae6c5e2906f6c02b6bc3ad6ba70d3674bafd4f16fc15,LateralAcc,dynamic
5c12d7b5eff374be805bae6c5e2906f6c02b6bc3ad6ba70d3674bafd4f16fc15,VerticalAcc,dynamic
5c12d7b5eff374be805bae6c5e2906f6c02b6bc3ad6ba70d3674bafd4f16fc15,RollRate,dynamic
5c12d7b5eff374be805bae6c5e2906f6c02b6bc3ad6ba70d3674bafd4f16fc15,PitchRate,dynamic
5c12d7b5eff374be805bae6c5e2906f6c02b6bc3ad6ba70d3674bafd4f16fc15,YawRate,dynamic
5c12d7b5eff374be805bae6c5e2906f6c02b6bc3ad6ba70d3674bafd4f16fc15,ECU VehSpeed,constant
5c12d7b5eff374be805bae6c5e2906f6c02b6bc3ad6ba70d3674bafd4f16fc15,ECU WheelSpdFL,constant
5c12d7b5eff374be805bae6c5e2906f6c02b6bc3ad6ba70d3674bafd4f16fc15,ECU WheelSpdFR,constant
5c12d7b5eff374be805bae6c5e2906f6c02b6bc3ad6ba70d3674bafd4f16fc15,ECU WheelSpdRL,constant
5c12d7b5eff374be805bae6c5e2906f6c02b6bc3ad6ba70d3674bafd4f16fc15,ECU WheelSpdRR,constant
5c12d7b5eff374be805bae6c5e2906f6c02b6bc3ad6ba70d3674bafd4f16fc15,Oil Pressure,dynamic
5c8af6b8a89a449144e0ddf74414040b433d630e1fd3d3ddc138ec3c4284d97b,InlineAcc,dynamic
5c8af6b8a89a449144e0ddf74414040b433d630e1fd3d3ddc138ec3c4284d97b,LateralAcc,dynamic
5c8af6b8a89a449144e0ddf74414040b433d630e1fd3d3ddc138ec3c4284d97b,VerticalAcc,dynamic
5c8af6b8a89a449144e0ddf74414040b433d630e1fd3d3ddc138ec3c4284d97b,RollRate,dynamic
5c8af6b8a89a449144e0ddf74414040b433d630e1fd3d3ddc138ec3c4284d97b,PitchRate,dynamic
5c8af6b8a89a449144e0ddf74414040b433d630e1fd3d3ddc138ec3c4284d97b,YawRate,dynamic
5c8af6b8a89a449144e0ddf74414040b433d630e1fd3d3ddc138ec3c4284d97b,ECU VehSpeed,constant
5c8af6b8a89a449144e0ddf74414040b433d630e1fd3d3ddc138ec3c4284d97b,ECU WheelSpdFL,constant
5c8af6b8a89a449144e0ddf74414040b433d630e1fd3d3ddc138ec3c4284d97b,ECU WheelSpdFR,constant
5c8af6b8a89a449144e0ddf74414040b433d630e1fd3d3ddc138ec3c4284d97b,ECU WheelSpdRL,constant
5c8af6b8a89a449144e0ddf74414040b433d630e1fd3d3ddc138ec3c4284d97b,ECU WheelSpdRR,constant
5c8af6b8a89a449144e0ddf74414040b433d630e1fd3d3ddc138ec3c4284d97b,Oil Pressure,dynamic
6732a35a8f6343dcf041f1a3ad40d6760331513a2556c4fae4eea6cd59da89b2,InlineAcc,dynamic
6732a35a8f6343dcf041f1a3ad40d6760331513a2556c4fae4eea6cd59da89b2,LateralAcc,dynamic
6732a35a8f6343dcf041f1a3ad40d6760331513a2556c4fae4eea6cd59da89b2,VerticalAcc,dynamic
6732a35a8f6343dcf041f1a3ad40d6760331513a2556c4fae4eea6cd59da89b2,RollRate,dynamic
6732a35a8f6343dcf041f1a3ad40d6760331513a2556c4fae4eea6cd59da89b2,PitchRate,dynamic
6732a35a8f6343dcf041f1a3ad40d6760331513a2556c4fae4eea6cd59da89b2,YawRate,dynamic
6732a35a8f6343dcf041f1a3ad40d6760331513a2556c4fae4eea6cd59da89b2,ECU VehSpeed,constant
6732a35a8f6343dcf041f1a3ad40d6760331513a2556c4fae4eea6cd59da89b2,ECU WheelSpdFL,constant
6732a35a8f6343dcf041f1a3ad40d6760331513a2556c4fae4eea6cd59da89b2,ECU WheelSpdFR,constant
6732a35a8f6343dcf041f1a3ad40d6760331513a2556c4fae4eea6cd59da89b2,ECU WheelSpdRL,constant
6732a35a8f6343dcf041f1a3ad40d6760331513a2556c4fae4eea6cd59da89b2,ECU WheelSpdRR,constant
6732a35a8f6343dcf041f1a3ad40d6760331513a2556c4fae4eea6cd59da89b2,Oil Pressure,dynamic
7208a43e77536a72e401c00f01a793130fb6688d28fb8080941e14cc5752b0ca,InlineAcc,dynamic
7208a43e77536a72e401c00f01a793130fb6688d28fb8080941e14cc5752b0ca,LateralAcc,dynamic
7208a43e77536a72e401c00f01a793130fb6688d28fb8080941e14cc5752b0ca,VerticalAcc,dynamic
7208a43e77536a72e401c00f01a793130fb6688d28fb8080941e14cc5752b0ca,RollRate,dynamic
7208a43e77536a72e401c00f01a793130fb6688d28fb8080941e14cc5752b0ca,PitchRate,dynamic
7208a43e77536a72e401c00f01a793130fb6688d28fb8080941e14cc5752b0ca,YawRate,dynamic
7208a43e77536a72e401c00f01a793130fb6688d28fb8080941e14cc5752b0ca,ECU VehSpeed,constant
7208a43e77536a72e401c00f01a793130fb6688d28fb8080941e14cc5752b0ca,ECU WheelSpdFL,constant
7208a43e77536a72e401c00f01a793130fb6688d28fb8080941e14cc5752b0ca,ECU WheelSpdFR,constant
7208a43e77536a72e401c00f01a793130fb6688d28fb8080941e14cc5752b0ca,ECU WheelSpdRL,constant
7208a43e77536a72e401c00f01a793130fb6688d28fb8080941e14cc5752b0ca,ECU WheelSpdRR,constant
7208a43e77536a72e401c00f01a793130fb6688d28fb8080941e14cc5752b0ca,Oil Pressure,dynamic
73093667f33a7f710fc20059989a002071359119e1e9c0a4128b67729755da33,InlineAcc,dynamic
73093667f33a7f710fc20059989a002071359119e1e9c0a4128b67729755da33,LateralAcc,dynamic
73093667f33a7f710fc20059989a002071359119e1e9c0a4128b67729755da33,VerticalAcc,dynamic
73093667f33a7f710fc20059989a002071359119e1e9c0a4128b67729755da33,RollRate,dynamic
73093667f33a7f710fc20059989a002071359119e1e9c0a4128b67729755da33,PitchRate,dynamic
73093667f33a7f710fc20059989a002071359119e1e9c0a4128b67729755da33,YawRate,dynamic
73093667f33a7f710fc20059989a002071359119e1e9c0a4128b67729755da33,ECU VehSpeed,constant
73093667f33a7f710fc20059989a002071359119e1e9c0a4128b67729755da33,ECU WheelSpdFL,constant
73093667f33a7f710fc20059989a002071359119e1e9c0a4128b67729755da33,ECU WheelSpdFR,constant
73093667f33a7f710fc20059989a002071359119e1e9c0a4128b67729755da33,ECU WheelSpdRL,constant
73093667f33a7f710fc20059989a002071359119e1e9c0a4128b67729755da33,ECU WheelSpdRR,constant
