recording_id,smooth_samples,lag_s,correlation
18385fe48224fbfa0cd6d17705d9305f857d70ef07b47b55502d04ff71359269,3,45.5,0.24697795091633687
18385fe48224fbfa0cd6d17705d9305f857d70ef07b47b55502d04ff71359269,5,45.5,0.25069581864097995
18385fe48224fbfa0cd6d17705d9305f857d70ef07b47b55502d04ff71359269,10,45.45,0.2541876573741702
27937681c8199780c6cbce603f217d5a4457c351e84fa3cd7cfc62bfd270c550,3,20.05,0.20178526355180604
27937681c8199780c6cbce603f217d5a4457c351e84fa3cd7cfc62bfd270c550,5,20.1,0.20446390130415193
27937681c8199780c6cbce603f217d5a4457c351e84fa3cd7cfc62bfd270c550,10,20.15,0.2118495732844406
4975a35d789765b9299480af66d6a5af5166fef074cef80facbac97409b84d07,3,21.0,0.22027013596401998
4975a35d789765b9299480af66d6a5af5166fef074cef80facbac97409b84d07,5,21.0,0.22868138758041087
4975a35d789765b9299480af66d6a5af5166fef074cef80facbac97409b84d07,10,21.0,0.24179256342603037
5c12d7b5eff374be805bae6c5e2906f6c02b6bc3ad6ba70d3674bafd4f16fc15,3,39.95,0.1719072767181532
5c12d7b5eff374be805bae6c5e2906f6c02b6bc3ad6ba70d3674bafd4f16fc15,5,39.95,0.17692377861767283
5c12d7b5eff374be805bae6c5e2906f6c02b6bc3ad6ba70d3674bafd4f16fc15,10,40.05,0.18274043857580957
8f799d59c9b5348ece1e5671692ea783d6d5e450ccebe31b6db9ad4f9510f8c5,3,45.15,0.22242945370177136
8f799d59c9b5348ece1e5671692ea783d6d5e450ccebe31b6db9ad4f9510f8c5,5,45.15,0.23296055111147437
8f799d59c9b5348ece1e5671692ea783d6d5e450ccebe31b6db9ad4f9510f8c5,10,45.25,0.2624286659687236
9116cbf4be063f5be851f65778ddfb91d60bdd5aa52e7211426769a6b2ce6f86,3,59.15,0.11532119899190595
9116cbf4be063f5be851f65778ddfb91d60bdd5aa52e7211426769a6b2ce6f86,5,59.15,0.11888548614098807
9116cbf4be063f5be851f65778ddfb91d60bdd5aa52e7211426769a6b2ce6f86,10,59.1,0.12543473604620878
b185f43818b8ff3aba325752922bbbf37fd094f1e282887487651e0a5c8f6c7a,3,46.0,0.18793778123662708
b185f43818b8ff3aba325752922bbbf37fd094f1e282887487651e0a5c8f6c7a,5,46.0,0.19603601797600118
b185f43818b8ff3aba325752922bbbf37fd094f1e282887487651e0a5c8f6c7a,10,46.0,0.20813094723558198
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,3,15.0,0.18457538894527742
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,5,15.05,0.18905112821742734
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,10,15.05,0.19946878667853135
