recording_id,split,first_channel,second_channel,lag_samples,correlation,overlap_samples
18385fe48224fbfa0cd6d17705d9305f857d70ef07b47b55502d04ff71359269,train,InlineAcc,LateralAcc,2.0,-0.6205731662809068,4578.0
18385fe48224fbfa0cd6d17705d9305f857d70ef07b47b55502d04ff71359269,train,InlineAcc,RollRate,1.0,0.7697133310057559,4579.0
18385fe48224fbfa0cd6d17705d9305f857d70ef07b47b55502d04ff71359269,train,InlineAcc,PitchRate,0.0,0.7028949051871564,4580.0
18385fe48224fbfa0cd6d17705d9305f857d70ef07b47b55502d04ff71359269,train,InlineAcc,YawRate,2.0,0.8219414261038686,4578.0
18385fe48224fbfa0cd6d17705d9305f857d70ef07b47b55502d04ff71359269,train,LateralAcc,RollRate,0.0,-0.862139992874707,4580.0
18385fe48224fbfa0cd6d17705d9305f857d70ef07b47b55502d04ff71359269,train,LateralAcc,PitchRate,-1.0,-0.736297311787772,4579.0
18385fe48224fbfa0cd6d17705d9305f857d70ef07b47b55502d04ff71359269,train,LateralAcc,YawRate,1.0,-0.9066212142473209,4579.0
18385fe48224fbfa0cd6d17705d9305f857d70ef07b47b55502d04ff71359269,train,RollRate,PitchRate,-2.0,0.7920374450077052,4578.0
18385fe48224fbfa0cd6d17705d9305f857d70ef07b47b55502d04ff71359269,train,RollRate,YawRate,1.0,0.9478140598534884,4579.0
18385fe48224fbfa0cd6d17705d9305f857d70ef07b47b55502d04ff71359269,train,PitchRate,YawRate,1.0,0.8334614718437993,4579.0
27937681c8199780c6cbce603f217d5a4457c351e84fa3cd7cfc62bfd270c550,train,InlineAcc,LateralAcc,7.0,-0.5099264166208758,4353.0
27937681c8199780c6cbce603f217d5a4457c351e84fa3cd7cfc62bfd270c550,train,InlineAcc,RollRate,2.0,0.67752126914137,4358.0
27937681c8199780c6cbce603f217d5a4457c351e84fa3cd7cfc62bfd270c550,train,InlineAcc,PitchRate,0.0,0.6260897826612378,4360.0
27937681c8199780c6cbce603f217d5a4457c351e84fa3cd7cfc62bfd270c550,train,InlineAcc,YawRate,2.0,0.7178246704703217,4358.0
27937681c8199780c6cbce603f217d5a4457c351e84fa3cd7cfc62bfd270c550,train,LateralAcc,RollRate,0.0,-0.7918331651588806,4360.0
27937681c8199780c6cbce603f217d5a4457c351e84fa3cd7cfc62bfd270c550,train,LateralAcc,PitchRate,2.0,-0.6523854612467488,4358.0
27937681c8199780c6cbce603f217d5a4457c351e84fa3cd7cfc62bfd270c550,train,LateralAcc,YawRate,1.0,-0.824975147684568,4359.0
27937681c8199780c6cbce603f217d5a4457c351e84fa3cd7cfc62bfd270c550,train,RollRate,PitchRate,-2.0,0.7802842329995806,4358.0
27937681c8199780c6cbce603f217d5a4457c351e84fa3cd7cfc62bfd270c550,train,RollRate,YawRate,0.0,0.946384249438613,4360.0
27937681c8199780c6cbce603f217d5a4457c351e84fa3cd7cfc62bfd270c550,train,PitchRate,YawRate,1.0,0.8275724145906437,4359.0
4975a35d789765b9299480af66d6a5af5166fef074cef80facbac97409b84d07,train,InlineAcc,LateralAcc,3.0,-0.6031866950073251,4217.0
4975a35d789765b9299480af66d6a5af5166fef074cef80facbac97409b84d07,train,InlineAcc,RollRate,1.0,0.741129989218601,4219.0
4975a35d789765b9299480af66d6a5af5166fef074cef80facbac97409b84d07,train,InlineAcc,PitchRate,0.0,0.6826361439308302,4220.0
4975a35d789765b9299480af66d6a5af5166fef074cef80facbac97409b84d07,train,InlineAcc,YawRate,1.0,0.797615555340168,4219.0
4975a35d789765b9299480af66d6a5af5166fef074cef80facbac97409b84d07,train,LateralAcc,RollRate,0.0,-0.8432169479643499,4220.0
4975a35d789765b9299480af66d6a5af5166fef074cef80facbac97409b84d07,train,LateralAcc,PitchRate,-1.0,-0.7117091717095747,4219.0
4975a35d789765b9299480af66d6a5af5166fef074cef80facbac97409b84d07,train,LateralAcc,YawRate,1.0,-0.887358908099821,4219.0
4975a35d789765b9299480af66d6a5af5166fef074cef80facbac97409b84d07,train,RollRate,PitchRate,-2.0,0.7900340526864539,4218.0
4975a35d789765b9299480af66d6a5af5166fef074cef80facbac97409b84d07,train,RollRate,YawRate,1.0,0.9445792638119467,4219.0
4975a35d789765b9299480af66d6a5af5166fef074cef80facbac97409b84d07,train,PitchRate,YawRate,1.0,0.8303399136933334,4219.0
5790cd1534b1de5ac4693367fe5d8ca6951cd36a7abcd3c778cee8923a932a75,train,InlineAcc,LateralAcc,0.0,0.8781787084828055,520.0
5790cd1534b1de5ac4693367fe5d8ca6951cd36a7abcd3c778cee8923a932a75,train,InlineAcc,RollRate,-1.0,-0.4354090977218223,519.0
5790cd1534b1de5ac4693367fe5d8ca6951cd36a7abcd3c778cee8923a932a75,train,InlineAcc,PitchRate,3.0,-0.3999645191003753,517.0
5790cd1534b1de5ac4693367fe5d8ca6951cd36a7abcd3c778cee8923a932a75,train,InlineAcc,YawRate,7.0,-0.2533615523731183,513.0
5790cd1534b1de5ac4693367fe5d8ca6951cd36a7abcd3c778cee8923a932a75,train,LateralAcc,RollRate,-1.0,-0.5265396374338401,519.0
5790cd1534b1de5ac4693367fe5d8ca6951cd36a7abcd3c778cee8923a932a75,train,LateralAcc,PitchRate,3.0,-0.48576689717471333,517.0
5790cd1534b1de5ac4693367fe5d8ca6951cd36a7abcd3c778cee8923a932a75,train,LateralAcc,YawRate,7.0,-0.3482423652410427,513.0
5790cd1534b1de5ac4693367fe5d8ca6951cd36a7abcd3c778cee8923a932a75,train,RollRate,PitchRate,4.0,0.4822022074536104,516.0
5790cd1534b1de5ac4693367fe5d8ca6951cd36a7abcd3c778cee8923a932a75,train,RollRate,YawRate,5.0,0.5903026172962842,515.0
5790cd1534b1de5ac4693367fe5d8ca6951cd36a7abcd3c778cee8923a932a75,train,PitchRate,YawRate,2.0,0.3186530719245464,518.0
5c12d7b5eff374be805bae6c5e2906f6c02b6bc3ad6ba70d3674bafd4f16fc15,train,InlineAcc,LateralAcc,0.0,0.6285311806868645,1800.0
5c12d7b5eff374be805bae6c5e2906f6c02b6bc3ad6ba70d3674bafd4f16fc15,train,InlineAcc,RollRate,30.0,0.1932737258221755,1770.0
5c12d7b5eff374be805bae6c5e2906f6c02b6bc3ad6ba70d3674bafd4f16fc15,train,InlineAcc,PitchRate,11.0,0.16112380082320465,1789.0
5c12d7b5eff374be805bae6c5e2906f6c02b6bc3ad6ba70d3674bafd4f16fc15,train,InlineAcc,YawRate,17.0,0.1913431850937074,1783.0
5c12d7b5eff374be805bae6c5e2906f6c02b6bc3ad6ba70d3674bafd4f16fc15,train,LateralAcc,RollRate,61.0,-0.19875044149443005,1739.0
5c12d7b5eff374be805bae6c5e2906f6c02b6bc3ad6ba70d3674bafd4f16fc15,train,LateralAcc,PitchRate,43.0,-0.19466871422837073,1757.0
5c12d7b5eff374be805bae6c5e2906f6c02b6bc3ad6ba70d3674bafd4f16fc15,train,LateralAcc,YawRate,49.0,-0.23278158190682618,1751.0
