method,task,split,metric,value,sample_count,reference_source
01_signal_processing,recurrence,all,non_control_recording_coverage,0.7272727272727273,11,none
01_signal_processing,recurrence,all,non_control_review_candidate_rate,0.125,8,unverified_threshold
01_signal_processing,recurrence,all,control_candidate_detection_rate,0.5,2,training_low_dynamics_quantile
01_signal_processing,data_quality,all,duplicate_alias_count,0.0,18,sha256
02_dtw,period_pair_retrieval,train,median_matched_dtw,0.9393892743328888,62,signal_period_teacher
02_dtw,period_pair_retrieval,train,matched_better_than_control_rate,0.8225806451612904,62,within_recording_control
02_dtw,period_pair_retrieval,validation,median_matched_dtw,25.37882512540868,10,signal_period_teacher
02_dtw,period_pair_retrieval,validation,matched_better_than_control_rate,0.3,10,within_recording_control
02_dtw,period_pair_retrieval,test,median_matched_dtw,0.3694710869910502,20,signal_period_teacher
02_dtw,period_pair_retrieval,test,matched_better_than_control_rate,0.7,20,within_recording_control
02_dtw,period_pair_retrieval,all,median_matched_dtw,0.6446510290312373,92,signal_period_teacher
02_dtw,period_pair_retrieval,all,matched_better_than_control_rate,0.7391304347826086,92,within_recording_control
03_correlation,channel_lag_consensus,train,mean_lag_mad_s,2.3714285714285714,7,none
03_correlation,channel_lag_consensus,validation,mean_lag_mad_s,0.25,1,none
03_correlation,channel_lag_consensus,test,mean_lag_mad_s,5.000000000000001,2,none
03_correlation,channel_lag_consensus,all,mean_lag_mad_s,2.6850000000000005,10,none
03_correlation,sensor_cross_correlation,train,median_absolute_peak_correlation,0.655752719384098,110,none
03_correlation,sensor_cross_correlation,validation,median_absolute_peak_correlation,0.7418778396720147,30,none
03_correlation,sensor_cross_correlation,test,median_absolute_peak_correlation,0.4420526784174495,40,none
03_correlation,sensor_cross_correlation,all,median_absolute_peak_correlation,0.655752719384098,180,none
04_learned_embeddings,masked_signal_prediction,train,mean_reconstruction_mse,47.257379776487504,662,none
04_learned_embeddings,masked_signal_prediction,validation,mean_reconstruction_mse,96.1499361727798,61,none
04_learned_embeddings,masked_signal_prediction,test,mean_reconstruction_mse,21.75621970488105,213,none
04_learned_embeddings,masked_signal_prediction,all,mean_reconstruction_mse,44.64060503815594,936,none
04_learned_embeddings,embedding_retrieval,train,mean_neighbor_cosine_similarity,0.9983443311867454,662,none
04_learned_embeddings,embedding_retrieval,validation,mean_neighbor_cosine_similarity,0.9893375740950427,61,none
04_learned_embeddings,embedding_retrieval,test,mean_neighbor_cosine_similarity,0.99979260612135,213,none
04_learned_embeddings,embedding_retrieval,all,mean_neighbor_cosine_similarity,0.9980869277449472,936,none
05_autoencoders,window_reconstruction,train,autoencoder_mse,16.333256389415876,662,none
05_autoencoders,window_reconstruction,validation,autoencoder_mse,49.38320001077953,61,none
05_autoencoders,window_reconstruction,test,autoencoder_mse,9.359963521769652,213,none
05_autoencoders,window_reconstruction,all,autoencoder_mse,16.900281154474143,936,none
05_autoencoders,window_reconstruction,train,pca_mse,16.667064772633413,662,none
05_autoencoders,window_reconstruction,validation,pca_mse,45.45916685309383,61,none
05_autoencoders,window_reconstruction,test,pca_mse,9.04616823858762,213,none
05_autoencoders,window_reconstruction,all,pca_mse,16.809230654210694,936,none
06_contrastive_learning,augmentation_retrieval,train,mean_view_cosine_similarity,0.9863892793655396,662,same_window_augmentations
06_contrastive_learning,augmentation_retrieval,validation,mean_view_cosine_similarity,0.981839120388031,61,same_window_augmentations
06_contrastive_learning,augmentation_retrieval,test,mean_view_cosine_similarity,0.9897724986076356,213,same_window_augmentations
06_contrastive_learning,augmentation_retrieval,all,mean_view_cosine_similarity,0.9868625998497008,936,same_window_augmentations
06_contrastive_learning,embedding_retrieval,train,mean_neighbor_cosine_similarity,0.9674973527919086,662,none
06_contrastive_learning,embedding_retrieval,validation,mean_neighbor_cosine_similarity,0.9691393494206804,61,none
06_contrastive_learning,embedding_retrieval,test,mean_neighbor_cosine_similarity,0.9812196215999988,213,none
06_contrastive_learning,embedding_retrieval,all,mean_neighbor_cosine_similarity,0.9707270590424196,936,none
07_sequence_models,next_sample_prediction,train,gru_mse,33.91434595845818,662,none
07_sequence_models,next_sample_prediction,validation,gru_mse,71.15623135101293,61,none
07_sequence_models,next_sample_prediction,test,gru_mse,15.166861140684444,213,none
07_sequence_models,next_sample_prediction,all,gru_mse,32.07518008533855,936,none
07_sequence_models,next_sample_prediction,train,persistence_mse,4.306843241398169,662,persistence_baseline
07_sequence_models,next_sample_prediction,validation,persistence_mse,10.307184398640045,61,persistence_baseline
07_sequence_models,next_sample_prediction,test,persistence_mse,1.9414051974349715,213,persistence_baseline
07_sequence_models,next_sample_prediction,all,persistence_mse,4.159602330316538,936,persistence_baseline
08_unsupervised_learning,driving_regime_clustering,train,selected_cluster_count,3.0,662,internal_selection
08_unsupervised_learning,driving_regime_clustering,train,silhouette,0.6665222696960819,662,internal_only
08_unsupervised_learning,driving_regime_clustering,train,seed_adjusted_rand_index,1.0,662,internal_only
08_unsupervised_learning,driving_regime_clustering,train,mean_centroid_distance,1.938080665591948,662,none
08_unsupervised_learning,driving_regime_clustering,validation,mean_centroid_distance,2.8445643230886404,61,none
08_unsupervised_learning,driving_regime_clustering,test,mean_centroid_distance,1.363307265490526,213,none
08_unsupervised_learning,driving_regime_clustering,all,mean_centroid_distance,1.866359264828802,936,none
