recording_id,channel,state
07173121b1534f1eadb8b127005d4eff70872388074c2bbe0c93061527d89f40,ACC Long [g],absent
07173121b1534f1eadb8b127005d4eff70872388074c2bbe0c93061527d89f40,ACC Lat [g],absent
07173121b1534f1eadb8b127005d4eff70872388074c2bbe0c93061527d89f40,ACC Vert [g],absent
07173121b1534f1eadb8b127005d4eff70872388074c2bbe0c93061527d89f40,Pitch Rate [deg/sec],absent
07173121b1534f1eadb8b127005d4eff70872388074c2bbe0c93061527d89f40,Roll Rate [deg/sec],absent
07173121b1534f1eadb8b127005d4eff70872388074c2bbe0c93061527d89f40,Yaw Rate [deg/sec],absent
07173121b1534f1eadb8b127005d4eff70872388074c2bbe0c93061527d89f40,Steering Wheel Angle,absent
07173121b1534f1eadb8b127005d4eff70872388074c2bbe0c93061527d89f40,Wheel Speed FL,absent
07173121b1534f1eadb8b127005d4eff70872388074c2bbe0c93061527d89f40,Wheel Speed FR,absent
07173121b1534f1eadb8b127005d4eff70872388074c2bbe0c93061527d89f40,Wheel Speed RL,absent
07173121b1534f1eadb8b127005d4eff70872388074c2bbe0c93061527d89f40,Wheel Speed RR,absent
07173121b1534f1eadb8b127005d4eff70872388074c2bbe0c93061527d89f40,Oil Pressure,absent
1a8433bf1168531d6f7c2deb5c37b27de5ddf1d9f65316416ecbf000289fd40a,ACC Long [g],absent
1a8433bf1168531d6f7c2deb5c37b27de5ddf1d9f65316416ecbf000289fd40a,ACC Lat [g],absent
1a8433bf1168531d6f7c2deb5c37b27de5ddf1d9f65316416ecbf000289fd40a,ACC Vert [g],absent
1a8433bf1168531d6f7c2deb5c37b27de5ddf1d9f65316416ecbf000289fd40a,Pitch Rate [deg/sec],absent
1a8433bf1168531d6f7c2deb5c37b27de5ddf1d9f65316416ecbf000289fd40a,Roll Rate [deg/sec],absent
1a8433bf1168531d6f7c2deb5c37b27de5ddf1d9f65316416ecbf000289fd40a,Yaw Rate [deg/sec],absent
1a8433bf1168531d6f7c2deb5c37b27de5ddf1d9f65316416ecbf000289fd40a,Steering Wheel Angle,absent
1a8433bf1168531d6f7c2deb5c37b27de5ddf1d9f65316416ecbf000289fd40a,Wheel Speed FL,absent
1a8433bf1168531d6f7c2deb5c37b27de5ddf1d9f65316416ecbf000289fd40a,Wheel Speed FR,absent
1a8433bf1168531d6f7c2deb5c37b27de5ddf1d9f65316416ecbf000289fd40a,Wheel Speed RL,absent
1a8433bf1168531d6f7c2deb5c37b27de5ddf1d9f65316416ecbf000289fd40a,Wheel Speed RR,absent
1a8433bf1168531d6f7c2deb5c37b27de5ddf1d9f65316416ecbf000289fd40a,Oil Pressure,absent
1cca7c275163fc193899535ebb0c13f26676e8568d3c8adac48dbcc224812b0c,ACC Long [g],absent
1cca7c275163fc193899535ebb0c13f26676e8568d3c8adac48dbcc224812b0c,ACC Lat [g],absent
1cca7c275163fc193899535ebb0c13f26676e8568d3c8adac48dbcc224812b0c,ACC Vert [g],absent
1cca7c275163fc193899535ebb0c13f26676e8568d3c8adac48dbcc224812b0c,Pitch Rate [deg/sec],absent
1cca7c275163fc193899535ebb0c13f26676e8568d3c8adac48dbcc224812b0c,Roll Rate [deg/sec],absent
1cca7c275163fc193899535ebb0c13f26676e8568d3c8adac48dbcc224812b0c,Yaw Rate [deg/sec],absent
1cca7c275163fc193899535ebb0c13f26676e8568d3c8adac48dbcc224812b0c,Steering Wheel Angle,absent
1cca7c275163fc193899535ebb0c13f26676e8568d3c8adac48dbcc224812b0c,Wheel Speed FL,absent
1cca7c275163fc193899535ebb0c13f26676e8568d3c8adac48dbcc224812b0c,Wheel Speed FR,absent
1cca7c275163fc193899535ebb0c13f26676e8568d3c8adac48dbcc224812b0c,Wheel Speed RL,absent
1cca7c275163fc193899535ebb0c13f26676e8568d3c8adac48dbcc224812b0c,Wheel Speed RR,absent
1cca7c275163fc193899535ebb0c13f26676e8568d3c8adac48dbcc224812b0c,Oil Pressure,absent
200a690cbeb5a4d9f415d6a933e60aa13a0cf5ee5c03c71731d7739c8ecbda5e,ACC Long [g],absent
200a690cbeb5a4d9f415d6a933e60aa13a0cf5ee5c03c71731d7739c8ecbda5e,ACC Lat [g],absent
200a690cbeb5a4d9f415d6a933e60aa13a0cf5ee5c03c71731d7739c8ecbda5e,ACC Vert [g],absent
200a690cbeb5a4d9f415d6a933e60aa13a0cf5ee5c03c71731d7739c8ecbda5e,Pitch Rate [deg/sec],absent
200a690cbeb5a4d9f415d6a933e60aa13a0cf5ee5c03c71731d7739c8ecbda5e,Roll Rate [deg/sec],absent
200a690cbeb5a4d9f415d6a933e60aa13a0cf5ee5c03c71731d7739c8ecbda5e,Yaw Rate [deg/sec],absent
200a690cbeb5a4d9f415d6a933e60aa13a0cf5ee5c03c71731d7739c8ecbda5e,Steering Wheel Angle,absent
200a690cbeb5a4d9f415d6a933e60aa13a0cf5ee5c03c71731d7739c8ecbda5e,Wheel Speed FL,absent
200a690cbeb5a4d9f415d6a933e60aa13a0cf5ee5c03c71731d7739c8ecbda5e,Wheel Speed FR,absent
200a690cbeb5a4d9f415d6a933e60aa13a0cf5ee5c03c71731d7739c8ecbda5e,Wheel Speed RL,absent
200a690cbeb5a4d9f415d6a933e60aa13a0cf5ee5c03c71731d7739c8ecbda5e,Wheel Speed RR,absent
200a690cbeb5a4d9f415d6a933e60aa13a0cf5ee5c03c71731d7739c8ecbda5e,Oil Pressure,absent
