recording_id,smooth_samples,lag_s,correlation
200a690cbeb5a4d9f415d6a933e60aa13a0cf5ee5c03c71731d7739c8ecbda5e,3,22.4,0.06438613784426296
200a690cbeb5a4d9f415d6a933e60aa13a0cf5ee5c03c71731d7739c8ecbda5e,5,22.5,0.06321074074248156
200a690cbeb5a4d9f415d6a933e60aa13a0cf5ee5c03c71731d7739c8ecbda5e,10,22.5,0.05677797631980468
25aa01e1dcbaea32c062e01b0f782c938c34163fc58af14087dfe2f77906c06e,3,22.6,-0.07392908441168568
25aa01e1dcbaea32c062e01b0f782c938c34163fc58af14087dfe2f77906c06e,5,22.6,-0.07619173666604441
25aa01e1dcbaea32c062e01b0f782c938c34163fc58af14087dfe2f77906c06e,10,22.4,-0.0805343767268348
5e9e04831922d971561f6ffb53b2c77744d905cca01dcc2fe043d10b2f63c613,3,19.9,0.27453334734020257
5e9e04831922d971561f6ffb53b2c77744d905cca01dcc2fe043d10b2f63c613,5,19.9,0.2735476573439087
5e9e04831922d971561f6ffb53b2c77744d905cca01dcc2fe043d10b2f63c613,10,19.8,0.25197509283358577
629d7d57091b71c5c0c2c6f42218702e454b4ae60e20636885741c7c22fe1bb4,3,42.3,0.19927881352913757
629d7d57091b71c5c0c2c6f42218702e454b4ae60e20636885741c7c22fe1bb4,5,42.3,0.20464734384872185
629d7d57091b71c5c0c2c6f42218702e454b4ae60e20636885741c7c22fe1bb4,10,42.5,0.21351905951753763
667a6e15a4394db30d7cce7a4db319041453bfa306b566a87e84b213d81efb29,3,105.0,0.2504081498844906
667a6e15a4394db30d7cce7a4db319041453bfa306b566a87e84b213d81efb29,5,105.0,0.2573251687690766
667a6e15a4394db30d7cce7a4db319041453bfa306b566a87e84b213d81efb29,10,105.2,0.27072286643072807
6939b3836a088e9113eb3bffcf362bed963a71bbd9012ecb56dc61e6d500da39,3,17.3,0.16437500482691297
6939b3836a088e9113eb3bffcf362bed963a71bbd9012ecb56dc61e6d500da39,5,17.3,0.16536661314439302
6939b3836a088e9113eb3bffcf362bed963a71bbd9012ecb56dc61e6d500da39,10,17.2,0.16446138883373984
6faa006353747cbeb4e6d2e90954728110cb94fabfcd41e319270d4cde22f117,3,42.5,0.7621735924667541
6faa006353747cbeb4e6d2e90954728110cb94fabfcd41e319270d4cde22f117,5,42.5,0.7742969728755065
6faa006353747cbeb4e6d2e90954728110cb94fabfcd41e319270d4cde22f117,10,42.4,0.7945558539676637
e57d3de89d6f2a3165aa05beee7b611f60923e090254337c1b48f744c78db52d,3,23.3,0.2739999501966957
e57d3de89d6f2a3165aa05beee7b611f60923e090254337c1b48f744c78db52d,5,23.3,0.28411505597447234
e57d3de89d6f2a3165aa05beee7b611f60923e090254337c1b48f744c78db52d,10,23.3,0.28613701256665325
f8a2dfe19bc591bed40778fcb493d9a34a3261518b2f4b416ba15a9402ec6dd7,3,16.6,0.05739291152092006
f8a2dfe19bc591bed40778fcb493d9a34a3261518b2f4b416ba15a9402ec6dd7,5,16.6,0.05477693709667301
f8a2dfe19bc591bed40778fcb493d9a34a3261518b2f4b416ba15a9402ec6dd7,10,16.6,0.024700593765576685
