recording_id,split,first_channel,second_channel,lag_samples,correlation,overlap_samples
07173121b1534f1eadb8b127005d4eff70872388074c2bbe0c93061527d89f40,train,Motor RPM [Rpm],MC Duty Cycle [%],-4.0,0.6299966118386455,216.0
07173121b1534f1eadb8b127005d4eff70872388074c2bbe0c93061527d89f40,train,Motor RPM [Rpm],AC Current,7.0,-0.5935579751770034,213.0
07173121b1534f1eadb8b127005d4eff70872388074c2bbe0c93061527d89f40,train,Motor RPM [Rpm],DC Current [A],7.0,-0.5800012674433936,213.0
07173121b1534f1eadb8b127005d4eff70872388074c2bbe0c93061527d89f40,train,Motor RPM [Rpm],Pack_Current,7.0,-0.5469434901135248,213.0
07173121b1534f1eadb8b127005d4eff70872388074c2bbe0c93061527d89f40,train,MC Duty Cycle [%],AC Current,0.0,0.8258294690735648,220.0
07173121b1534f1eadb8b127005d4eff70872388074c2bbe0c93061527d89f40,train,MC Duty Cycle [%],DC Current [A],0.0,0.8429697032658512,220.0
07173121b1534f1eadb8b127005d4eff70872388074c2bbe0c93061527d89f40,train,MC Duty Cycle [%],Pack_Current,0.0,0.8671024350004443,220.0
07173121b1534f1eadb8b127005d4eff70872388074c2bbe0c93061527d89f40,train,AC Current,DC Current [A],0.0,0.9828128912679427,220.0
07173121b1534f1eadb8b127005d4eff70872388074c2bbe0c93061527d89f40,train,AC Current,Pack_Current,0.0,0.9901802109249628,220.0
07173121b1534f1eadb8b127005d4eff70872388074c2bbe0c93061527d89f40,train,DC Current [A],Pack_Current,0.0,0.9882867453669029,220.0
1a8433bf1168531d6f7c2deb5c37b27de5ddf1d9f65316416ecbf000289fd40a,train,Motor RPM [Rpm],MC Duty Cycle [%],-3.0,0.8597253276261851,217.0
1a8433bf1168531d6f7c2deb5c37b27de5ddf1d9f65316416ecbf000289fd40a,train,Motor RPM [Rpm],AC Current,12.0,-0.6311647436676064,208.0
1a8433bf1168531d6f7c2deb5c37b27de5ddf1d9f65316416ecbf000289fd40a,train,Motor RPM [Rpm],DC Current [A],-10.0,0.5660035987984069,210.0
1a8433bf1168531d6f7c2deb5c37b27de5ddf1d9f65316416ecbf000289fd40a,train,Motor RPM [Rpm],Pack_Current,-10.0,0.580320041338594,210.0
1a8433bf1168531d6f7c2deb5c37b27de5ddf1d9f65316416ecbf000289fd40a,train,MC Duty Cycle [%],AC Current,0.0,0.5869869547851133,220.0
1a8433bf1168531d6f7c2deb5c37b27de5ddf1d9f65316416ecbf000289fd40a,train,MC Duty Cycle [%],DC Current [A],0.0,0.7261988299720301,220.0
1a8433bf1168531d6f7c2deb5c37b27de5ddf1d9f65316416ecbf000289fd40a,train,MC Duty Cycle [%],Pack_Current,0.0,0.7527532036513019,220.0
1a8433bf1168531d6f7c2deb5c37b27de5ddf1d9f65316416ecbf000289fd40a,train,AC Current,DC Current [A],0.0,0.9650537404886644,220.0
1a8433bf1168531d6f7c2deb5c37b27de5ddf1d9f65316416ecbf000289fd40a,train,AC Current,Pack_Current,0.0,0.9487001542244554,220.0
1a8433bf1168531d6f7c2deb5c37b27de5ddf1d9f65316416ecbf000289fd40a,train,DC Current [A],Pack_Current,0.0,0.9890053391630058,220.0
1cca7c275163fc193899535ebb0c13f26676e8568d3c8adac48dbcc224812b0c,train,Motor RPM [Rpm],MC Duty Cycle [%],-6.0,0.9479883946885037,374.0
1cca7c275163fc193899535ebb0c13f26676e8568d3c8adac48dbcc224812b0c,train,Motor RPM [Rpm],AC Current,-38.0,0.6883797943343465,342.0
1cca7c275163fc193899535ebb0c13f26676e8568d3c8adac48dbcc224812b0c,train,Motor RPM [Rpm],DC Current [A],-21.0,0.8894038861090966,359.0
1cca7c275163fc193899535ebb0c13f26676e8568d3c8adac48dbcc224812b0c,train,Motor RPM [Rpm],Pack_Current,-16.0,0.9261463485471177,364.0
1cca7c275163fc193899535ebb0c13f26676e8568d3c8adac48dbcc224812b0c,train,MC Duty Cycle [%],AC Current,-29.0,0.7309184865700367,351.0
1cca7c275163fc193899535ebb0c13f26676e8568d3c8adac48dbcc224812b0c,train,MC Duty Cycle [%],DC Current [A],-17.0,0.8785347013145602,363.0
1cca7c275163fc193899535ebb0c13f26676e8568d3c8adac48dbcc224812b0c,train,MC Duty Cycle [%],Pack_Current,-1.0,0.9001745480738721,379.0
1cca7c275163fc193899535ebb0c13f26676e8568d3c8adac48dbcc224812b0c,train,AC Current,DC Current [A],0.0,0.8302732611210757,380.0
1cca7c275163fc193899535ebb0c13f26676e8568d3c8adac48dbcc224812b0c,train,AC Current,Pack_Current,3.0,0.721984500692599,377.0
1cca7c275163fc193899535ebb0c13f26676e8568d3c8adac48dbcc224812b0c,train,DC Current [A],Pack_Current,0.0,0.9808969815871439,380.0
200a690cbeb5a4d9f415d6a933e60aa13a0cf5ee5c03c71731d7739c8ecbda5e,train,Motor RPM [Rpm],MC Duty Cycle [%],-5.0,0.9722932583396275,574.0
200a690cbeb5a4d9f415d6a933e60aa13a0cf5ee5c03c71731d7739c8ecbda5e,train,Motor RPM [Rpm],AC Current,-19.0,0.5138216309145344,560.0
