method,task,split,metric,value,sample_count,reference_source
01_signal_processing,recurrence,all,non_control_recording_coverage,0.5625,16,none
01_signal_processing,recurrence,all,non_control_review_candidate_rate,0.4444444444444444,9,unverified_threshold
01_signal_processing,recurrence,all,control_candidate_detection_rate,0.25,4,motor_rpm_threshold
01_signal_processing,data_quality,all,duplicate_alias_count,5.0,26,sha256
02_dtw,period_pair_retrieval,train,median_matched_dtw,0.7698721909641343,63,signal_period_teacher
02_dtw,period_pair_retrieval,train,matched_better_than_control_rate,0.5714285714285714,63,within_recording_control
02_dtw,period_pair_retrieval,validation,median_matched_dtw,0.4489403907056316,30,signal_period_teacher
02_dtw,period_pair_retrieval,validation,matched_better_than_control_rate,0.6666666666666666,30,within_recording_control
02_dtw,period_pair_retrieval,test,median_matched_dtw,2.2734668000321934,16,signal_period_teacher
02_dtw,period_pair_retrieval,test,matched_better_than_control_rate,0.5,16,within_recording_control
02_dtw,period_pair_retrieval,all,median_matched_dtw,0.9204143342341056,109,signal_period_teacher
02_dtw,period_pair_retrieval,all,matched_better_than_control_rate,0.5871559633027523,109,within_recording_control
03_correlation,channel_lag_consensus,train,mean_lag_mad_s,1.033333333333334,9,none
03_correlation,channel_lag_consensus,validation,mean_lag_mad_s,0.8000000000000007,3,none
03_correlation,channel_lag_consensus,test,mean_lag_mad_s,0.0,3,none
03_correlation,channel_lag_consensus,all,mean_lag_mad_s,0.7800000000000005,15,none
03_correlation,sensor_cross_correlation,train,median_absolute_peak_correlation,0.7959429214776007,111,none
03_correlation,sensor_cross_correlation,validation,median_absolute_peak_correlation,0.7332575518033396,20,none
03_correlation,sensor_cross_correlation,test,median_absolute_peak_correlation,0.7685557051660323,30,none
03_correlation,sensor_cross_correlation,all,median_absolute_peak_correlation,0.7657237215613244,161,none
04_learned_embeddings,masked_signal_prediction,train,mean_reconstruction_mse,0.547548095946712,333,none
04_learned_embeddings,masked_signal_prediction,validation,mean_reconstruction_mse,0.4537763585178115,108,none
04_learned_embeddings,masked_signal_prediction,test,mean_reconstruction_mse,0.4393987944977747,59,none
04_learned_embeddings,masked_signal_prediction,all,mean_reconstruction_mse,0.5145317830910949,500,none
04_learned_embeddings,embedding_retrieval,train,mean_neighbor_cosine_similarity,0.999081245310304,333,none
04_learned_embeddings,embedding_retrieval,validation,mean_neighbor_cosine_similarity,0.9989524446192944,108,none
04_learned_embeddings,embedding_retrieval,test,mean_neighbor_cosine_similarity,0.9997021191085306,59,none
04_learned_embeddings,embedding_retrieval,all,mean_neighbor_cosine_similarity,0.9991266874692368,500,none
05_autoencoders,window_reconstruction,train,autoencoder_mse,0.1993796280037642,333,none
05_autoencoders,window_reconstruction,validation,autoencoder_mse,0.1315692559639896,108,none
05_autoencoders,window_reconstruction,test,autoencoder_mse,0.1911096077273833,59,none
05_autoencoders,window_reconstruction,all,autoencoder_mse,0.1837567252505599,500,none
05_autoencoders,window_reconstruction,train,pca_mse,0.1536310309194219,333,none
05_autoencoders,window_reconstruction,validation,pca_mse,0.1000725181631844,108,none
05_autoencoders,window_reconstruction,test,pca_mse,0.148769484788693,59,none
05_autoencoders,window_reconstruction,all,pca_mse,0.1414887297206487,500,none
06_contrastive_learning,augmentation_retrieval,train,mean_view_cosine_similarity,0.9875742793083192,333,same_window_augmentations
06_contrastive_learning,augmentation_retrieval,validation,mean_view_cosine_similarity,0.99020117521286,108,same_window_augmentations
06_contrastive_learning,augmentation_retrieval,test,mean_view_cosine_similarity,0.9891951084136964,59,same_window_augmentations
06_contrastive_learning,augmentation_retrieval,all,mean_view_cosine_similarity,0.988332986831665,500,same_window_augmentations
06_contrastive_learning,embedding_retrieval,train,mean_neighbor_cosine_similarity,0.98273222917577,333,none
06_contrastive_learning,embedding_retrieval,validation,mean_neighbor_cosine_similarity,0.9915154920858932,108,none
06_contrastive_learning,embedding_retrieval,test,mean_neighbor_cosine_similarity,0.9865953058222108,59,none
06_contrastive_learning,embedding_retrieval,all,mean_neighbor_cosine_similarity,0.9850852570086364,500,none
07_sequence_models,next_sample_prediction,train,gru_mse,0.2262871120764355,333,none
07_sequence_models,next_sample_prediction,validation,gru_mse,0.1915830107924939,108,none
07_sequence_models,next_sample_prediction,test,gru_mse,0.1801490072904814,59,none
07_sequence_models,next_sample_prediction,all,gru_mse,0.2133467298343615,500,none
07_sequence_models,next_sample_prediction,train,persistence_mse,0.0925788503714784,333,persistence_baseline
07_sequence_models,next_sample_prediction,validation,persistence_mse,0.0812191294487523,108,persistence_baseline
07_sequence_models,next_sample_prediction,test,persistence_mse,0.0944823870567801,59,persistence_baseline
07_sequence_models,next_sample_prediction,all,persistence_mse,0.0903497679810351,500,persistence_baseline
08_unsupervised_learning,driving_regime_clustering,train,selected_cluster_count,3.0,333,internal_selection
08_unsupervised_learning,driving_regime_clustering,train,silhouette,0.8620580722450073,333,internal_only
08_unsupervised_learning,driving_regime_clustering,train,seed_adjusted_rand_index,1.0,333,internal_only
08_unsupervised_learning,driving_regime_clustering,train,mean_centroid_distance,5.320191476450281,333,none
08_unsupervised_learning,driving_regime_clustering,validation,mean_centroid_distance,4.854485497255831,108,none
08_unsupervised_learning,driving_regime_clustering,test,mean_centroid_distance,4.3128161819496,59,none
08_unsupervised_learning,driving_regime_clustering,all,mean_centroid_distance,5.1007287001932,500,none
