recording_id,start_s,end_s,Embeddings,Autoencoder,Contrastive,Sequence,Unsupervised,split
07173121b1534f1eadb8b127005d4eff70872388074c2bbe0c93061527d89f40,0.0,10.0,0.683,0.098,0.585,0.13,0.334,train
07173121b1534f1eadb8b127005d4eff70872388074c2bbe0c93061527d89f40,2.0,12.0,0.372,0.232,0.629,0.304,0.756,train
07173121b1534f1eadb8b127005d4eff70872388074c2bbe0c93061527d89f40,4.0,14.0,0.767,0.176,0.271,0.296,0.796,train
07173121b1534f1eadb8b127005d4eff70872388074c2bbe0c93061527d89f40,6.0,16.0,0.737,0.254,0.581,0.3,0.19,train
07173121b1534f1eadb8b127005d4eff70872388074c2bbe0c93061527d89f40,8.0,18.0,0.676,0.262,0.05,0.322,0.242,train
07173121b1534f1eadb8b127005d4eff70872388074c2bbe0c93061527d89f40,10.0,20.0,0.609,0.266,0.129,0.314,0.776,train
07173121b1534f1eadb8b127005d4eff70872388074c2bbe0c93061527d89f40,12.0,22.0,0.545,0.342,0.463,0.398,0.816,train
1a8433bf1168531d6f7c2deb5c37b27de5ddf1d9f65316416ecbf000289fd40a,0.0,10.0,0.773,0.32,0.124,0.306,0.076,train
1a8433bf1168531d6f7c2deb5c37b27de5ddf1d9f65316416ecbf000289fd40a,2.0,12.0,0.717,0.296,0.063,0.288,0.084,train
1a8433bf1168531d6f7c2deb5c37b27de5ddf1d9f65316416ecbf000289fd40a,4.0,14.0,0.741,0.406,0.105,0.37,0.286,train
1a8433bf1168531d6f7c2deb5c37b27de5ddf1d9f65316416ecbf000289fd40a,6.0,16.0,0.653,0.416,0.048,0.376,0.106,train
1a8433bf1168531d6f7c2deb5c37b27de5ddf1d9f65316416ecbf000289fd40a,8.0,18.0,0.737,0.316,0.086,0.326,0.118,train
1a8433bf1168531d6f7c2deb5c37b27de5ddf1d9f65316416ecbf000289fd40a,10.0,20.0,0.68,0.334,0.02,0.368,0.126,train
1a8433bf1168531d6f7c2deb5c37b27de5ddf1d9f65316416ecbf000289fd40a,12.0,22.0,0.593,0.286,0.199,0.336,0.76,train
